# Source: Appendix D BOQ For MEI Pkg I-3.xlsx
# Sheet: Pkg I-3-005
"# Rows: 84, Cols: 25"






NO.,TAG NO.,"EQUIPMENT/
MATERIAL",Description,MATERIAL,Material Supplied By,UNIT,Qty.,,WEIGHT(T),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,"UNIT 40 
General",UNIT,TOTAL,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,Q,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f
"General Notes for Package Units:
Package Units are self-contained, all-in-one units consisting of, but not limited to: Equipment, interconnecting piping, electrical, instrument components, steel structures... already captured under the weight below established. 
Package Units are fabricated and skid-mounted in one or more sections, with loose items that shall be required to be completed at SITE.
PK-0005-Brown,4015-CV-0005B,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h  
Total Length=294000mm
Power：450KW","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,350,350
PK-0005-Brown,4015-CV-0006,Belt Conveyor,"DTⅡBelt Conveyor
B=1000mm  V=2.54m/s  Q=600t/h 
Total Length=328400mm
Length (Brown)=259400mm
Power：75kw ","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,"weight within brown area: 126t
(total wight of CV-0006: 160t)","weight within brown area: 126t
(total wight of CV-0006: 160t)"
PK-0005-Brown,6010-CV-2100,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h
Total Length= TBD
(60000mm shlal be for modification within RSGP scope)
Power：","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,70,70
PK-0005-Brown,6010-CV-2200,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h
Total Length= TBD
(60000mm shlal be for modification within RSGP scope)
Power：","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,70,70
PK-0005-Brown,6015-CV-1300,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h
Total Length= TBD
(Additional idlers to be added to existing belt conveyor under the discharge point)
Power：","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,1,1
PK-0005-Brown,6015-CV-1400,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h
Total Length= TBD
(Additional idlers to be added to existing belt conveyor under the discharge point)
Power：","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,1,1
PK-0005-Brown,4015-SC-0004A,Eletronic Belt Scale,"Adaptation bandwidth：2200mm
Weighing range：4000t/h
Weighing precision：+/- 0.25%  
Belt speed：V=2.54 m/s
Roll angle:45°
Power:3kw ",construction material:Tubular carbon steel,Contractor,EA,1,1,0.3,0.3,,,,,,,,,,,5777.77777777778
PK-0005-Brown,4015-SC-0004B,Eletronic Belt Scale,"Adaptation bandwidth：2200mm
Weighing range：4000t/h
Weighing precision：+/- 0.25%  
Belt speed：V=2.54 m/s
Roll angle:45°
Power:3kw ",construction material:Tubular carbon steel,Contractor,EA,1,1,0.3,0.3,,,,,,,,,,,5777.77777777778
PK-0005-Brown,4015-DV-0002A,Diverter Gate,"Capacity: 4000t/h
Inlet size: TBD
Outlet size: TBD
Power： 3Kw (continuous)","Gate material: 316 L
Bypass material:316 L
Reinforcements Type/Material:L100/S275JR ",Contractor,EA,1,1,0.6,0.6
PK-0005-Brown,4015-DV-0002B,Diverter Gate,"Capacity: 4000t/h
Inlet size: TBD
Outlet size: TBD
Power： 3Kw (continuous)","Gate material: 316 L
Bypass material:316 L
Reinforcements Type/Material:L100/S275JR ",Contractor,EA,1,1,0.6,0.6
PK-0005-Brown,4015-DV-0003,Diverter Gate,"Capacity: 600t/h
Inlet size: TBD
Outlet size: TBD
Power: 3Kw (continuous)","Gate material: 316 L
Bypass material:316 L
Reinforcements Type/Material:L100/S275JR ",Contractor,EA,1,1,0.6,0.6
PK-0005-Brown,4015-TT-0013,Transfer Tower,"W= 10000mm
L=  13500mm
H= 15427mm
Qty. of floor & roof: 3","structure: CS
Roofing: trapezoidal sheet metal",Contractor,EA,1,1,132,132
PK-0005-Brown,4015-TT-0015,Transfer Tower,"W= 14700mm
L=  19700mm
H= 14462mm
Qty. of floor & roof: 2","structure: CS
Roofing: trapezoidal sheet metal",Contractor,EA,1,1,185,185
PK-0005-Brown,4015-TT-0016,Transfer Tower,"W=17700mm
L= 22600 mm
H=18900 mm
Qty. of floor & roof: 3","structure: CS
Roofing: trapezoidal sheet metal",Contractor,EA,1,1,469,469
,,,"All other equipment, E&I auxilary facilities, internal piping, steel structure etc. ",,Contractor,Lot,1,,,,,,,,,,,,,,370370.35,,Refer to Vendor Document as attached
,,,Pkg I-3 Equipment 005 TOTAL






,,,,,,,,,,,,,,,,,,,,,,5157784.14960477

























