# Source: Appendix D.1 BOQ For Firefighting Pipe Prefabrication Rev.A.xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"

,,,,PART II EXHIBIT D SUBCONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES
,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,CONTRACT NO. :XXXXX
SUBCONTRACT: Fire-fighting Piping (3-inch and above) Prefabrication Works on FOB Basis,,,,
0.SUBCONTRACT PRICE SUMMARY,,,,
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (USD),DAY RATE FOR WORK (USD),DAY RATE FOR STAND-BY (USD)
82,"Water Pump, 65 M3 / h",,,
83,Level,,,
83,Theodolite,,,
84,Tractor Welder D6,,,
84,Tractor Welder D7,,,
85,Nitrogen generator,,,
85,Berm forming machine,,,
86,Hydrotest Cabin and Equipment,,,
86,Lighting Set,,,
87,Truck 6 T/W - Hiab,,,
87,Truck 10 T/W - Hiab,,,
88,Truck - Lube,,,
88,Truck C/Pit 400 GL,,,
89,Truck Cold Storage 27 M3,,,
89,Truck - Service,,,
90,Truck - Tipper 15 M3,,,
90,Pipe Lowering-in Equipment,,,
91,Rock Hammer,,,
91,Fuel Truck 1500 GL,,,
92,Fuel Truck 3000 GL,,,
92,TR W/Tanker 3000 GL,,,
93,TR W/Tanker 5000 GL,,,
93,TR W/Tanker 6000 GL,,,
94,TR W/Tanker 12000 GL,,,
94,TR TIPP MER3824 15 M3,,,
95,Truck 6T,,,
95,Scraper 631D,,,
96,W/Loader BOB CAT 741/3,,,
96,Excavator JCB 3C,,,
97,Hot Tapping Machine for  4” – 10”,,,
97,Hot Tapping Machine for  12” – 18”,,,
98,Hot Tapping Machine for  20” – 24”,,,
98,Hot Tapping Machine for  26” – 30”,,,
99,Hot Tapping Machine for  36” – 40”,,,
99,Hot Tapping Machine for  42” – 46”,,,
100,Hot Tapping Machine for  48” – 52”,,,
100,Ripper Dozer D8K,,,
101,Tow Truck,,,
101,Side Boom 594,,,
102,Side Boom 572,,,
102,Side Boom 571,,,
103,Side Boom 583,,,
103,Compactor Trench 75,,,
104,Compactor Trench 65,,,
104,Test Pump,,,
105,H.P. Test Pump,,,
105,Well Point Dewatering System,,,
106,Forklift 6 Ton,,,
106,Dumper 2 T,,,
107,Batching Plant 55 M3,,,
107,Transit Mixer 6 M3,,,
108,Ambulance ,,,
108,4 WD Pickup with A/C,,,
109,4 WD Station Wagon with A/C,,,
109,CAT 966 Rubber Tyred Shovels,,,
110,"Cold Cutting Machine upto 48""",,,
110,Cutting & Beveling Machine,,,
111,Survey Equipment,,,
111,Holiday Detector,,,
112,Hydraulic Jack Hammer,,,
112,"Crawler Crane, 400 T",,,
113,"Crawler Crane, 350 T",,,
113,"Crawler Crane, 250 T",,,
114,"Crawler Crane, 165 T",,,
114,"Crawler Crane, 110 T",,,
115,"Crawler Crane, 70 T",,,
115,"Crawler Crane, 50 - 60 T",,,
116,"Mobile Crane, 120 - 125 T",,,
116,"Mobile Crane, 110 T",,,
117,"Mobile Crane, 70 T",,,
117,"Mobile Crane, 50 T",,,
118,Mobile Crane 40 T,,,
118,"Mobile Crane, 18T",,,
119,"RT Crane, 51 - 60 T",,,
119,"RT Crane, 41 - 50 T",,,
120,"RT Crane, 30 - 40 T",,,
120,"RT Crane, 18 - 20 T",,,
121,4WD Landcruiser with A/C,,,
121,Saloon Car (5 seater with A/C),,,
122,Others ( BIDDER to specify),,,
Special Notes,,,,
"1.The above daily equipment rates shall apply for 10 hours/day of operational use of Subcontractor-owned and supplier's construction equipment which has been mobilized to the general vicinity of WORK SITE. And the monthly rate applies for the equipment which to be rented for at least 1 month. When Subcontractor's equipment does not resemble the equipment having rates listed herein, the rate shall be negotiated and agreed upon in writing by Contractor.",,,,
"2.Equipment rates shall include all costs to Subcontractor for mobilization, demobilization, loading and off-loading, assembly and disassembly, overtime premium, bonuses, holidays premium, fuel, maintenance, repairs, insurance, overhead and profits, and any other allowance and/or expense incurred to Subcontractor in compliance with all applicable Federal, State and Local laws.",,,,
3.Equipment rates shall include all typical equipment accessories required for use within the equipment including spare parts.,,,,
"4.Any equipment standby time for changes in SUBCONTRACT WORK caused by CONTRACTOR shall be approved by CONTRACTOR (if applicable), and shall be paid at the percentages quoted above.",,,,
5.Subcontractor's costs for any construction equipment not available at jobsite which must be rented by Subcontractor or its low tier subcontractor or suppliers for the execution of changes to SUBCONTRACT WORK shall be reimbursed at actual cost to Subcontractor plus.5%-(five percent).,,,,
"6.The cost for equipment drivers, operators, fuelers, oilers etc. are included in the Construction Equipment rates.",,,,
"7. VAT will be excluded in the proposal and submit together with the invoice, which is required to be approved by Wison.",,,,
,,,,
