# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Electrical  (Brown) 
"# Rows: 173, Cols: 16384"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,WBS,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,EARTHING WIRE,70 mm2,Contractor,lm,,200,,2000,,,,,,,,,,,,14.2857142857143
EL-05-0005,,ROD TO CABLE ,"CLAMP , COPPER ALLOY, CAPABLE TO CONNECT 3 x 70
~ 95 mm2 CABLE TO EARTHING ROD, 95 mm2",,ea,,,,,,,,,,,,,,,,0
EL-05-0006,,,"""TEE"" WELDING MOLD, CABLE TO CABLE, EASY CLEANING TYPE 95 mm2 - 95 mm2",,ea,,,,,,,,,,,,,,,,0
EL-05-0007,,,"""TEE"" WELDING MOLD, CABLE TO CABLE, EASY CLEANING TYPE 95 mm2 -70 mm2",,ea,,,,,,,,,,,,,,,,0
EL-05-0008,,,"""TEE"" WELDING MOLD, CABLE TO CABLE, EASY CLEANING TYPE 95 mm2 - 35 mm2",,ea,,,,,,,,,,,,,,,,0
EL-05-0009,,,"POWDER FOR EXOTHERMIC WELD , 115 gr PACK SUITABLE FOR  3 ABOVE MENTIONED ITEMS",,ea,,,,,,,,,,,,,,,,0
EL-05-0010,,,"""TEE"" WELDING MOLD, CABLE TO CABLE, EASY CLEANING TYPE 70 mm2 - 70 mm2",Subcontractor,ea,,,,,,,,,,,,,,,,0,,"""TEE"" WELDING MOLD shall be deemed included in the Earthing Work"
EL-05-0011,,,"""TEE"" WELDING MOLD, CABLE TO CABLE, EASY CLEANING TYPE 70 mm2 - 25 mm2",Subcontractor,ea,,,,,,,,,,,,,,,,0,,"""TEE"" WELDING MOLD shall be deemed included in the Earthing Work"
EL-05-0012,,,"""TEE"" WELDING MOLD, CABLE TO CABLE, EASY CLEANING TYPE 70 mm2 - 16 mm2",Subcontractor,ea,,,,,,,,,,,,,,,,0,,"""TEE"" WELDING MOLD shall be deemed included in the Earthing Work"
EL-05-0013,,,"POWDER FOR EXOTHERMIC WELD , 90 gr PACK SUITABLE FOR  3 ABOVE MENTIONED ITEMS",Subcontractor,ea,,,,,,,,,,,,,,,,0,,POWDER FOR EXOTHERMIC WELD shall be deemed included in the Earthing Work
