# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Piping (Green）
"# Rows: 251, Cols: 26"







No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
Supply by","SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,,,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f

AP-01,,Connection Joints
AP-02-01-0009,Gate valve,"Gate Vlv ,API 602/ASME B16.34 ,CL 150 ,RF ,BB,OS&Y,SolidWedge ,Handwheel ,A105N ,Trim:13Cr+HF",CS,Contractor,0.75,CL150,FLGD,PCS,,,,,,,,,,,,63.4920634920635
AP-02-01-0010,Gate valve,"Gate Vlv ,API 602/ASME B16.34 ,CL 300 ,RF ,BB,OS&Y,SolidWedge ,Handwheel ,A105N ,Trim:13Cr/STL(Trim No.8) ,STD Port,ASME B16.5",CS,Contractor,0.75,CL300,FLGD,PCS,,,,,,,,,,,,63.4920634920635
AP-02-01-0011,Gate valve,"Gate Vlv ,API 602/ASME B16.34 ,CL 150 ,RF ,BB,OS&Y,SolidWedge ,Handwheel ,A105N ,Trim:13Cr/STL(Trim No.8) ,STD Port,ASME B16.5",CS,Contractor,0.75,CL150,FLGD,PCS,,,,,,,,,,,,63.4920634920635
AP-02-01-0012,Gate valve,"Gate Vlv ,API 602/ASME B16.34 ,CL 300 ,RF ,BB,OS&Y,SolidWedge ,Handwheel ,A105N ,Trim:13Cr/STL(Trim No.8) ,STD Port,ASME B16.5",CS,Contractor,1,CL300,FLGD,PCS,,,,,,,,,,,,79.3650793650794
AP-02-01-0013,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,STD Port,ASME B16.5",CS,Contractor,3,CL150,FLGD,PCS,,,,,,,,,,,,253.968253968254
AP-02-01-0014,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,STD Port,ASME B16.5",CS,Contractor,6,CL150,FLGD,PCS,,,,,,,,,,,,476.190476190476
AP-02-01-0015,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 300 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,3,CL300,FLGD,PCS,,,,,,,,,,,,253.968253968254
AP-02-01-0016,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,6,CL150,FLGD,PCS,,,,,,,,,,,,476.190476190476
AP-02-01-0017,Gate valve,"CL.800, SW TO B16.11,SOLID WEDGE, STD RT, OS & Y, BOLTED ONNET,HANDWHEEL API 602 +ASME B16.34 BODY: ASTM A105N TRIM: 13Cr +HF",CS,Contractor,0.75,CL800,FLGD,PCS,,,,,,,,,,,,63.4920634920635
AP-02-01-0018,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Gear operator ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,20,CL150,FLGD,PCS,,,,,,,,,,,,3174.60317460317
