# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Instrumentation(Green）
"# Rows: 231, Cols: 27"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,WBS,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
IN-02-03-0008,,Control valve,"Globe（Single seat globe);  
Flange：3"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0009,,Control valve,"Globe（Single seat globe);  
Flange：2"" ASME CL300 RF; 
Body Material ：ASTM A351-CF8M;  
Trim Material:SS316+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FO,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0010,,Control valve,"Globe（Single seat globe);  
Flange：3"" ASME CL300 RF; 
Body Material ：ASTM A351-CF8M;  
Trim Material:SS316+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0011,,Control valve,"Rotary Eccentric Plug(Valve is Jacketed type);  
Flange：6"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FO,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0012,,Control valve,"Rotary Eccentric Plug(Valve is Jacketed type);  
Flange：10"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,Contractor,ea,,,,0,3,,,,,,,,,,,,,767.195767195767
IN-02-03-0013,,Control valve,"Globe（Double seat globe);  
Flange：6"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0014,,On-Off Vlave,"Ball; 
Flange：1-1/2"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;                                                             
Trim Material ：13Cr+HF                                                                                                                                   
Shutoff Class: ISO5208 Rate CC;
Actuator: Pneumatic;FC, Maximum Closing Time:1.5s
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0015,,On-Off Vlave,"Ball; 
Flange：2"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;                                                               
Trim Material ：13Cr+HF                                                                                                                                 
Shutoff Class: ANSI V;
Actuator: Pneumatic;FC, Maximum Closing Time:2s
with one solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65;
Fire Safe:API607 ;",,Contractor,ea,,,,,1,,,,,,,,,,,,,529.100529100529
IN-02-03-0016,,On-Off Vlave,"Ball; 
Flange：3"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;                                                               
Trim Material ：13Cr+HF                                                                                                                                 
Shutoff Class: ANSI V;
Actuator: Pneumatic;FC, Maximum Closing Time:3s
with one solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0017,,On-Off Vlave,"Ball; 
Flange：3"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;                                                              
Trim Material ：13Cr+HF                                                                                                                                   
Shutoff Class: ISO5208 Rate CC;
Actuator: Pneumatic;FC, Maximum Closing Time:3s
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65
with SIL II certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0018,,On-Off Vlave,"Ball; 
Flange：3"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;                                                              
Trim Material ：13Cr+HF                                                                                                                                 
Shutoff Class: ISO5208 Rate CC;
Actuator: Pneumatic;FC, Maximum Closing Time:3s
with one solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0019,,On-Off Vlave,"Ball; 
Flange：3"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;
Trim Material ：13Cr+HF
Shutoff Class: ANSI V;
Actuator: Pneumatic;FC, Maximum Closing Time:3s
with one solenoid valve(24 VDC,3/2 WAY) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0020,,On-Off Vlave,"Ball; 
Flange：3"" ASME CL300 RF;                    
Body Material：ASTM A351-CF8M;                                                               
Trim Material ：SS316+HF                                                                                                                                    
Shutoff Class: ANSI V;
Actuator: Pneumatic;FC, Maximum Closing Time:3s
with one solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
