# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Instrumentation(Green）
"# Rows: 231, Cols: 27"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,WBS,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
IN-03-01-0001,DCS-IS,Cable,"1x2x1.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. 
All cables shall be Flame Retardant and comply with IEC 60332-1-1&2 and IEC 60332-3-22, Category A as a minimum. 
Voltage rating: 300V/500V.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue.",,Contractor,lm,,,,,2000,,,,,,,,,,,,,7.93650793650794,,DCS
IN-03-01-0002,DCS-NIS,Cable,"1x2x2.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight.
All cables shall be Flame Retardant and comply with IEC 60332-1-1&2 and IEC 60332-3-22, Category A as a minimum. 
Voltage rating: 300V/500V.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Black.",,Contractor,lm,,400,0,0,200,,,,,,,,,,,,,7.93650793650794,,DCS
IN-03-01-0003,DCS-IS,Cable,"10x2x1.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight.
All cables shall be Flame Retardant and comply with IEC 60332-1-1&2 and IEC 60332-3-22, Category A as a minimum. 
Voltage rating: 300V/500V.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue.",,,lm,1000,,,,,,,,,,,,,,,,,10.5820105820106,,NEW ITEM
IN-03-01-0003-1,,Cable,"10x2x1.0 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight.  Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue.",,Contractor,lm,,2280,0,20400,0,,,,,,,,,,,,,10.5820105820106
IN-03-01-0004,DCS,Cable,"20x2x1.0 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight.
All cables shall be Flame Retardant and comply with IEC 60332-1-1&2 and IEC 60332-3-22, Category A as a minimum. 
Voltage rating: 300V/500V.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue for IS cables and Black for NIS cables.",,Contractor,lm,,1520,0,4400,1800,,,,,,,,,,,,,13.2275132275132,,DCS
IN-03-01-0005,DCS-NIS,Cable,"10x2x2.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight.
All cables shall be Flame Retardant and comply with IEC 60332-1-1&2 and IEC 60332-3-22, Category A as a minimum. 
Voltage rating: 300V/500V.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Black.",,Contractor,lm,,700,3200,7200,1500,,,,,,,,,,,,,10.5820105820106,,DCS
IN-03-01-0006,ESD-IS,Cable,"1x2x1.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue.",,,lm,,,,,,,,,,,,,,,,,,0,,SIS
IN-03-01-0006-1,,Cable,"1x3x1.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Red.",,Contractor,lm,,3000,0,2800,1000,,,,,,,,,,,,,7.93650793650794
IN-03-01-0007,ESD-IS,Cable,"1x2x2.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue.",,,lm,,,,,,,,,,,,,,,,,,0,,SIS
IN-03-01-0008,ESD-NIS,Cable,"1x2x2.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Black.",,,lm,,,,,,,,,,,,,,,,,,0,,SIS
IN-03-01-0009,ESD-IS,Cable,"10x2x1.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue.",,,lm,,,,,,,,,,,,,,,,,,0,,SIS
IN-03-01-0009-1,,Cable,"10x3x1.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Red.",,Contractor,lm,,3800,0,0,2100,,,,,,,,,,,,,10.5820105820106
IN-03-01-0010,ESD-IS,Cable,"20x2x1.0 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight.  Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Blue.",,,lm,,,,,,,,,,,,,,,,,,0,,SIS
IN-03-01-0011,ESD-NIS,Cable,"10x2x2.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Black.",,,lm,,,,,,,,,,,,,,,,,,0,,SIS
IN-03-01-0012,FGS-NIS,Cable,"1x3x1.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Red.",,,lm,,,,,,,,,,,,,,,,,,0,,FGS
IN-03-01-0013,FGS-NIS,Cable,"10x3x1.5 sq.mm. with screen and armoured (SWA), Lead Sheath cables shall be heat, oil, soil & UV resistant; non-hygroscopic and gas & vapor tight. Category A as a minimum. 
Voltage rating: 300V/500V.
Fire Resistant and comply with IEC 60331-21.
Non-Instrinsically or Instrinsically safe, 7-stand bare-plain anneal copper wire twisted.
Instrumentation cables used for intrinsic safe applications shall be individually and overall 
shielded as per IEC 60079-14.
Outer sheath color shall be Red.",,,lm,,,,,,,,,,,,,,,,,,0,,FGS
IN-03-01-0014,,Cable,INSTRUMENT CABLES & ACCESSORIES    1x6 sq.mm grounding cable,,Contractor,lm,,0,0,60,150,,,,,,,,,,,,,7.93650793650794
IN-03-01-0015,,Cable,INSTRUMENT CABLES & ACCESSORIES    1x25 sq.mm grounding cable,,,lm,,,,,,,,,,,,,,,,,,0
IN-03-01-0016,,Cable,INSTRUMENT CABLES & ACCESSORIES    1x70 sq.mm grounding cable,,Contractor,lm,,0,0,0,50,,,,,,,,,,,,,33.0687830687831
IN-03-01-0017,,FO Cable,24 core single-mode fiber cable,,Contractor,lm,,,5200,,0,0,2000,,,,,,,,,,,15.8730158730159
IN-03-01-0018,,,"Earthing Bar, Copper",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-02,,,Cable Tray,,,,,,,,,,,,,,,,,,,,,0
IN-03-02-0001,,Cable Tray,"Cable Ladder with ventilation type Cover, L=6m, 600×150, Galvanized LTCS, GRP (Glass reinforced polyester).",,Contractor,lm,,300,0,0,0,,,,,,,,,,,,,130.952380952381
IN-03-02-0002,,Cable Tray,"Cable Ladder with ventilation type Cover, L=6m, 300×150, Galvanized LTCS, GRP (Glass reinforced polyester).",,Contractor,lm,,300,600,690,240,,,,,,,,,,,,,71.4285714285714
,,Cable Tray,"Cable Tray with ventilation type Cover, L=6m, 200×100, Galvanized LTCS, GRP (Glass reinforced polyester).",,Contractor,lm,96,,,,,,,,,,,,,,,,,66.1375661375661,,NEW ITEM
,,Cable Tray,"Cable Tray with ventilation type Cover, L=3m, 100×50, Galvanized LTCS, GRP (Glass reinforced polyester).",,Contractor,lm,200,,,,,,,,,,,,,,,,,39.6825396825397,,NEW ITEM
IN-03-02-0003,,Cable Ladder External,"Cable Ladder External Riser, 300(W)X150(H) 300mm (R), GRP ",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-02-0004,,Cable Ladder External,"Cable Ladder External Riser, 600(W)X150(H) 300mm (R), GRP",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-02-0005,,Cable Ladder Internal,"Cable Ladder Internal Riser, 300(W)X150(H) 300mm (R), GRP ",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-02-0006,,Cable Ladder Internal,"Cable Ladder Internal Riser, 600(W)X150(H) 300mm (R), GRP ",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-02-0007,,Cable Ladder Elbow,"Cable Ladder Elbow 90°, 300(W)X150(H) 300mm (R), GRP ",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-02-0008,,Cable Ladder Elbow,"Cable Ladder Elbow 90°, 600(W)X150(H) 300mm (R), GRP ",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-03,,,JUNCTION BOX AND GLAND,,,,,,,,,,,,,,,,,,,,,0
IN-03-03-0001,,JUNCTION BOX AND GLAND,"Instrument Junction Box (IS) ,Exe IICT4 / Ex tb IIIB T3, IP65, 37 Terminals, SS316L;
with one M40 x1.5(F) and 10 pcs M20 x 1.5(F) Armored Cable Glands/PVC Shroud & Plugs, Marine Grade Brass.",,Contractor,ea,,2,0,0,5,,,,,,,,,,,,,10.5820105820106
IN-03-03-0002,,JUNCTION BOX AND GLAND,"Instrument Junction Box (IS) ,Exe IICT4 / Ex tb IIIB T3, IP65, 73 Terminals, SS316L;
with one M50 x1.5(F) and 20 pcs M20 x 1.5(F) Armored Cable Glands/PVC Shroud & Plugs, Marine Grade Brass.",,Contractor,ea,,,,,7,,,,,,,,,,,,,10.5820105820106
IN-03-03-0003,SOV,JUNCTION BOX AND GLAND,"Instrument Junction Box (NIS) ,Exe IICT4 / Ex tb IIIB T3, IP65, 37 Terminals, SS316L;
with one M40 x1.5(F) and 10 pcs M20 x 1.5(F) Armored Cable Glands/PVC Shroud & Plugs, Marine Grade Brass.",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-03-0004,POWER,JUNCTION BOX AND GLAND,"Instrument Junction Box (NIS) ,Exe IICT4 / Ex tb IIIB T3, IP65, 49 Terminals, SS316L;
with one M40 x1.5(F) and 10 pcs M20 x 1.5(F) Armored Cable Glands/PVC Shroud & Plugs, Marine Grade Brass.",,Contractor,ea,,10,0,0,7,,,,,,,,,,,,,10.5820105820106
IN-03-03-0005,FGS,JUNCTION BOX AND GLAND,"Instrument Junction Box (NIS) ,Exe IICT4 / Ex tb IIIB T3, IP65, 73 Terminals, SS316L;
with one M40 x1.5(F) and 10 pcs M20 x 1.5(F) Armored Cable Glands/PVC Shroud & Plugs, Marine Grade Brass.",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-03-0006,, GLAND,"Ex d/Ex e,IP66,Cable Gland  For Steel Wire Armor Cable,M20x1.5(m), Brass Nickel-plated, w/PVC Shroud",,Contractor,ea,,100,0,0,160,,,,,,,,,,,,,6.61375661375661
IN-03-04,,,Pipe & Tube,,,,,,,,,,,,,,,,,,,,,0
IN-03-04-0001, ,Pipe & Tube,"12mm OD x1.5mm WT, ASTM A269 Gr.TP316SS",,,lm,,,,,,,,,,,,,,,,,,0
IN-03-04-0002, ,Pipe & Tube,"6mm OD x1.5mm WT, ASTM A269 Gr.TP316SS",,,lm,,,,,,,,,,,,,,,,,,0
IN-03-04-0003,,Other,"PIPE 2"", ASTM A53 Gr.B Sch80 (SUPPORT FOR Instrument)",,Subcontractor,kg,,,0,,,,,,,,,6.34920634920635,,,,,,32.8042328042328
IN-03-04-0004,,Pipe & Tube,"PVC, 150mm OD",,Contractor,lm,,150,120,24,30,,,,,,,,,,,,,26.1904761904762
,,Pipe & Tube,"PIPE 6"", PVC, Sch80",,Contractor,lm,150,,,,,,,,,,,,,,,,,23.8095238095238,,NEW ITEM
IN-03-05,,,Other,,,,,,,,,,,,,,,,,,,,,0
IN-03-05-0001,,Other,"STEEL CHANNEL (SUPPORT FOR JUNCTION BOX and CABINETS), 100 x 50 x 7.5t, HOT DIPPED GALVANISED",,Subcontractor,kg,,,,,,,,,,,,5.29100529100529,,,,,,21.1640211640212
IN-03-05-0002,,Other,"STEEL ANGLE (SUPPORT FOR HOOK-UP TUBE), 50 x 50 x 5t, HOT DIPPED GALVANISED",,Subcontractor,kg,,840,252,0,252,,,,,,,5.29100529100529,,,,,,21.1640211640212
,,Other,"10MM THK. MOUNTING PLATE, HOT DIPPED GALVANISED",,Subcontractor,kg,300,,,,,,,,,,,5.29100529100529,,,,,,21.1640211640212,,NEW ITEM
IN-03-05-0003,,Other,"6-way Air Manifold, with 1pc DN25 Inlet and 6pcs outlet, with 1/2"" NPT isolation valves and drain valve, 316SS",,Contractor,ea,,,,,4,,,,,,,,,,,,,132.275132275132
IN-03-05-0004,,Other,"10-way Air Manifold, with 1pc 1"" Inlet and 10pcs outlet, with 1/2"" NPT isolation valves and drain valve, 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0005,,Other,"SUN SHADE,  HOT DIPPED GALVANISED, 500mm x 400mm",,Contractor,ea,,,,,50,,,,,,,,,,,,,198.412698412698
IN-03-05-0006,,Other,"MALE CONNECTOR - DOUBLE COMPRESSION FITTING
1/2"" NPT x 6mm OD, 316SS",,Contractor,ea,,,,,,,,,,,,,,,,,,0,,CONNECTOR shall be deemed included in the Pipe & Tube work
IN-03-05-0007,,Other,"MALE CONNECTOR - DOUBLE COMPRESSION FITTING
1/2"" NPT x 12mm OD, 316SS",,Contractor,ea,,,,,,,,,,,,,,,,,,0,,CONNECTOR shall be deemed included in the Pipe & Tube work
IN-03-05-0008,,Other,"MALE CONNECTOR - DOUBLE COMPRESSION FITTING
1/4"" NPT x 6mm OD, 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0009,,Other,"FLANGE CONNECTOR
2'' FLANGED X 1/2” NPT(F), 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0010,,Other,"PLUG - DOUBLE COMPRESSION FITTING
1/2"" NPT, 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0011,,Other,"CAP - DOUBLE COMPRESSION FITTING
12mm OD, 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0012,,Other,"CAP - DOUBLE COMPRESSION FITTING 
6mm OD, 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0013,,Other,"FLANGE CONNECTOR
1/2'' NPT HOLE IN 2'' BLIND FLANGED X 12mm OD, 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0014,,Other,"UNION - DOUBLE COMPRESSION FITTING 
12mm OD , 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0015,,Other,"FLANGE CONNECTOR
3/4” FLANGED X 1/2” NPT(F), 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0016,,Other,"UNION EQUAL TEE - DOUBLE COMPRESSION FITTING
12mm OD, 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0017,,Other,"MALE C0NNECTOR NPT X TUBE
1/2"" NPT(M) X 12mm OD, 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0018,,Other,"CONDENSATE POT WITH VENT VALVE, BODY 3‘’ - 1/2"" PORTS, 316H SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0019,,Other,"FLANGE ADAPTER - DOUBLE COMPRESSION FITTING
3/4"" NPT x 12mm OD, 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0020,,Other,"BALL VALVE - DOUBLE COMPRESSION TYPE - 1/2"" NPT (F), 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0021,,Other,"BALL VALVE( IAS)  1/2"" NPT (F), 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0022,,Other,"UNION - TUBE
12mm OD, 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0023,,Other,"CAP
12mm OD, 316SS",,,ea,,,,,,,,,,,,,,,,,,0
IN-03-05-0024,,Other,"3"" NIPPLE
1/2” NPT(M), 316SS",,,ea,,,,,,,,,,,,,,,,,,0

,,,Instrumentation(Green）TOTAL
NOTES:
1,,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings."
1.1,,,"""Materials""includes the cost of all equipment and materials should be supplied by Subcontractor for the delivery and erection of equipment and materials that become a permanent part of WORK,and and all transportation, assessments and permit fees related to such equipment and materials."
1.2,,,"""Construction"" includes all labor required to complete WORK,all consumables required for temporary construction ,all consumables supplied by Subconstractor but not included in the Materials,all construction supplies and expendables,all construction tools and equipment,all field labor and supervision,and all transportation, assessments and permit fees related to such construction items."
1.3,,,"""Indirect Cost"" includes all costs which do not become a final part of the Project, but which are required for the orderly completion of the construction work and may include, but are not limited to, field administration, temporary facilities, subcontractor's fees, insurance, taxes, overhead and profit etc."
2,,,Above items of work are not exhaustive. And any work which is not mentioned above but needed for  completeness of the PLANT is deemed to have been included in above itemized activities.
3,,,"It should be filled strictly in accordance with the ""Bill of Quantities and Unit Price"", not allowed to add or delete the items, or change the order."
