,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,CODE:24108-25100-,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,
Item,Category,Description,Unit,"Qty.
","QUANTITIES
 BY WBS",,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,
,,,,,"UNIT 40 
Conveyor",UNIT 50,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
4.14,SSB paving sub-base,"Sub-Base
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,0,,0,,0,,0,,0,,0,,
4.15,Concrete,"CONCRETE - PRECAST CONCRETE(FDN, COL, BM, TRENCH CONCRETE COVER) (fc'=35N/mm²)",M3,0,,,,0,,0,,0,,0,,0,,0,,
4.16,Concrete,"CONCRETE - PRECAST CONCRETE(WALL PANELS, SLAB) (fc'=28N/mm²)",M3,0,,,,0,,0,,0,,0,,0,,0,,
4.17,Concrete,CONCRETE - FIREPROOFING (fc'=30N/mm²),M3,0,,,,0,,0,,0,,0,,0,,0,,
4.18000000000001,Concrete,Liquid Admixture-BASF MasterPozzolith 327 or Approved Equal (hold),L,0,,,,0,,0,,0,,0,,0,,0,,
4.19000000000001,Concrete,Liquid Admixture-BASF MasterRheobuild 945 or Approved Equal (hold),L,0,,,,0,,0,,0,,0,,0,,0,,
4.20000000000001,Concrete,CORROSION INHIBITOR-BASF Masterlife CI 30 or Approved Equal (hold),L,0,,,,0,,0,,0,,0,,0,,0,,
4.21000000000001,REBAR,"REBAR - DEFORMED REINFORCING BARS ASTM A615/A615M GRADE 60  (fy'=420N/mm²) or BS EN 10080 and BS 4449 with minimum yield strength of 500 N/mm2
REBAR - STIRRUPS AND TIES ASTM A1035
refer to AGES-SP-01-001;AGES-STD-01-101",T,110,,110,1912.28319444444,210351.151388889,2065.26585,227179.2435,3147.31087962963,346204.196759259,251.78487037037,27696.3357407407,0,0,5464.3612037037,601079.732407407,,
4.22000000000001,REBAR,"REBAR - PLAIN STEEL BARS ASTM A615/A615M GRADE 40 (fy'=280N/mm²)
Fabric reinforcement (standard mesh) of Grade 500 shall comply with the requirements of BS 4483 or ASTM A185/ A185M, made with cold reduced steel wire complying with BS 4482 with a minimum yield strength of 460 N/mm2. 
refer to AGES-SP-01-001;AGES-STD-01-101",T,0,,,,0,,0,,0,,0,,0,,0,,
4.23000000000001,REBAR,"REBAR - WELDED GALVANIZED WIRE MESH ASTM A1064 - 4.5X4.5/150X150 OR SIMILAR (6MM DIA@150 SPACING BOTH WAYS)  refer to AGES-SP-01-001;AGES-STD-01-101
",T,0,,,,0,,0,,0,,0,,0,,0,,
4.24000000000001,Prestressed steel Rebar,Prestressed steel Rebar  As per AGES-SP-01-001,T,0,,,,0,,0,,0,,0,,0,,0,,
4.25000000000001,GROUT-EPOXY,"EPOXY GROUTING MATERIAL -  MINIMUM COMPRESSIVE STRENGTH AT 7 DAYS OF 96MPA (AS PER ASTM C579)
refer to AGES-SP-01-004;AGES-STD-01-101",M3,0,,,,0,,0,,0,,0,,0,,0,,
4.26000000000001,GROUT-NON SHRINK CEMENTITIOUS ,"NON SHRINKAGE GROUTING MATERIAL - MINIMUM COMPRESSIVE STRENGTH AT 7 DAYS OF 35MPA (AS PER ASTM C109) 
refer to AGES-SP-01-004;AGES-STD-01-101",M3,0,,,,0,,0,,0,,0,,0,,0,,
4.27000000000001,SSB suphur pilewall and column corrossion,SSB suphur pile wall corrossion as per refer to AGES-SP-01-001;AGES-STD-01-101/102,M2,0,,,,0,,0,,0,,0,,0,,0,,
4.28000000000001,Paving POLYETHYLENE SHEET,"0.25MM THK CONFIRMING TO ASTM D2103 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,0,,,,0,,0,,0,,0,,0,,0,,
4.29000000000001,Foundation POLYETHYLENE SHEET,"0.25MM THK CONFIRMING TO ASTM D2103 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,950,,950,1.71893518518519,1632.98842592593,1.85645,1763.6275,2.02111111111111,1920.05555555556,0.161688888888889,153.604444444444,0,0,4.04222222222222,3840.11111111111,,
4.30,HIGH DENSITYPOLYETHYLENE LAMINATED BITUMEN SHEET,"1.5MM THICK SELF-ADHESIVE, HIGH DENSITYPOLYETHYLENE LAMINATED BITUMEN SHEET MEMBRANE 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,2880,,2880,15.6883796296296,45182.5333333333,16.94345,48797.136,30.1977777777778,86969.6,2.41582222222222,6957.568,0,0,49.5568518518519,142723.733333333,,
4.31000000000001,30mm LAYER OF SCREED,"30mm LAYER OF SCREED (CAN BE REPLACED WITH 5mm THICK HARD
POLYPROPYLENE BASED PROTECTION BOARD OR SIMILAR APPROVED,
SUBJECT TO COMPANY APPROVAL)",M2,830,,830,31.9018518518519,26478.537037037,34.454,28596.82,17.6005092592593,14608.4226851852,1.40804074074074,1168.67381481481,4.74545,3938.7235,58.2109722222222,48315.1069444444,,
4.32000000000001,MEMBRANE PROTECTION BOARD,"MEMBRANE PROTECTION BOARD (3.5mm THICK BITUMEN IMPREGNATEDFIBREBOARD OR 12mm THICK BITUMEN IMPREGNATED SOFT 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,1930,,1930,26.6608333333333,51455.4083333333,28.7937,55571.841,69.0447222222222,133256.313888889,5.52357777777778,10660.5051111111,0,0,103.363981481481,199492.484259259,,
4.33000000000002,ABOVE GROUND CONCRETE SURFACE PROTECTION (Foundation),"PRIMER: A PENETRATING SILANE SILOXANE
HYDROPHOBIC PRIMER APPLIED AS A FLOOD COAT AT A
RATE OF 0.4 LITRES/M2;
TWO COATS OF AN ACRYLIC POLYMER COATING
SYSTEM OF 150 MICRONS (DFT) EACH TOTAL DFT 300 MICRONS
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,57,,57,44.6477314814815,2544.92069444444,48.21955,2748.51435,71.7890740740741,4091.97722222222,5.74312592592593,327.358177777778,0,0,125.749768518519,7167.73680555556,,
4.34000000000002,REFRACTORY CASTABLE WITH SS ANCHORS,100 mm thick refractory castable with SS anchors.                                   ( (Materical Discirble refer to AGES-SP-01-001 ),M2,0,,,,0,,0,,0,,0,,0,,0,,
4.35000000000002,STAINLESS STEEL  WITH INSULATION,"3mm thick stainless steel lining throughout, with75mm insulation    (Materical Discirble refer to AGES-SP-01-001)",M2,0,,,,0,,0,,0,,0,,0,,0,,
4.36000000000002,ISOLATION JOINT FILLER,"FLEXCELL OR EQUIVALENT FIBRE BOARD JOINT FILLER
1) 10 THK FOR STRUC/STATIC EQUIPMENT
2) 25 THK FR HEAVY VIBRATIING EQUIPMENT
Including  SSB dike wall EJ, Tank Dike wall EJ and old/new connection ect. 
 Refer to AGES-SP-01-001;AGES-STD-01-101/AGES-STD-01-109",M,0,,,,0,,0,,0,,0,,0,,0,,
4.37000000000002,BUILDING JOINT FILLER,JIONT DESCRIBLE Refer to AGES-STD-01-109/AGES-STD-01-302,M,0,,,,0,,0,,0,,0,,0,,0,,
4.38000000000002,PVC WATER STOP,"10mm minimum thickness in accordance with BS 2571 and ASTM D412-75 and ASTM D638 for PVC 
Minimum width of water stop shall be 230mm for concrete section greater than 200mm wide and150mm for concrete section less than 200mm .
refer to AGES-SP-01-001;AGES-STD-01-101",M,0,,,,0,,0,,0,,0,,0,,0,,
4.39000000000002,HDPE SHEET,"2mm THK (inculding HDPE LINER inserts ect.）
Refer to AGES-STD-01-015 and AGES-SP-01-001",M2,0,,,,0,,0,,0,,0,,0,,0,,
