,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,,
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,,
,,,,,"UNIT 10 
General
","UNIT 10 Operation
Building",UNIT 10 Substation,"UNIT 10
 LCR","UNIT 10 
Operator Shelter",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,
,,,,Q,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,
NO.1,,Piling,,,,,,,,,,,,,,,,,,,,,,,,,,
4.7,Concrete,"CONCRETE - PAVING AND SLAB ON GRADE (fc'=30F N/mm²) 
refer to AGES-SP-01-001;AGES-STD-01-101(E.J / I.J / C.J are all included)",M3,3205,102,,,,,1850,1253,,,705.620416666667,2261513.43541667,762.07005,2442434.51025,505.317407407407,1619542.29074074,40.4253925925926,129563.383259259,0,0,1307.8124537037,4191538.91412036,,,
4.8,Concrete,"CONCRETE - BASINS AND WATER RETAINING STRUCTURES (fc'=40N/mm²)  
refer to AGES-SP-01-001;AGES-STD-01-101",M3,15,15,,,,,,,,,811.743611111111,12176.1541666667,876.6831,13150.2465,831.42962962963,12471.4444444444,66.5143703703704,997.715555555556,1.26795,19.01925,1775.89287037037,26638.3930555555,,,
4.9,SSB paving sub-base,"Asphalt Wearing Course 
refer to AGES-SP-01-001;AGES-SP-01-005",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.1,SSB paving sub-base,"Bituminous Tack coat 
refer to AGES-SP-01-001; AGES-SP-01-005",M2,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.11,SSB paving sub-base,"Binder Course 
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.12,SSB paving sub-base,"Bituminous Prime coat 
refer to AGES-SP-01-001; AGES-SP-01-005",M2,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.13,SSB paving sub-base,"Base Course 
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.14,SSB paving sub-base,"Sub-Base
refer to AGES-SP-01-001; AGES-SP-01-005",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.15,Concrete,"CONCRETE - PRECAST CONCRETE(FDN, COL, BM, TRENCH CONCRETE COVER,MANHOLE) (fc'=35N/mm²)",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.16,Concrete,"CONCRETE - PRECAST CONCRETE(WALL PANELS, SLAB) (fc'=28N/mm²)",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.17,Concrete,CONCRETE - FIREPROOFING (fc'=30N/mm²),M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.18000000000001,Concrete,Liquid Admixture-BASF MasterPozzolith 327 or Approved Equal (hold),L,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.19000000000001,Concrete,Liquid Admixture-BASF MasterRheobuild 945 or Approved Equal (hold),L,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.20000000000001,Concrete,CORROSION INHIBITOR-BASF Masterlife CI 30 or Approved Equal (hold),L,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.21000000000001,REBAR,"REBAR - DEFORMED REINFORCING BARS ASTM A615/A615M GRADE 60  (fy'=420N/mm²) or BS EN 10080 and BS 4449 with minimum yield strength of 500 N/mm2
REBAR - STIRRUPS AND TIES ASTM A1035
refer to AGES-SP-01-001;AGES-STD-01-101",T,1181.125,125,,,,,356.125,700,,,1147.37189814815,1355189.63320023,1239.16165,1463604.80385625,3147.31087962963,3717367.56270255,251.78487037037,297389.405016203,0,0,4638.25680555555,5478361.0694618,,,
4.22000000000001,REBAR,"REBAR - PLAIN STEEL BARS ASTM A615/A615M GRADE 40 (fy'=280N/mm²)
Fabric reinforcement (standard mesh) of Grade 500 shall comply with the requirements of BS 4483 or ASTM A185/ A185M, made with cold reduced steel wire complying with BS 4482 with a minimum yield strength of 460 N/mm2. 
refer to AGES-SP-01-001;AGES-STD-01-101",T,330,20,,,,,185,125,,,631.448611111111,208378.041666667,681.9645,225048.285,3555.92208333333,1173454.2875,284.473766666667,93876.3430000001,309.2835,102063.555,4831.64444444445,1594442.66666667,,,
4.23000000000001,REBAR,"REBAR - WELDED GALVANIZED WIRE MESH ASTM A1064 - 4.5X4.5/150X150 OR SIMILAR (6MM or 8mm DIA@150 SPACING BOTH WAYS )   
 Rebar BS 4483 A393 /A252/A142 for roads and paving  refer to AGES-SP-01-001; AGES-STD-01-022
",T,8,8,,,,,,,,,396.296296296296,3170.37037037037,428,3424,4780.08134259259,38240.6507407407,382.406507407407,3059.25205925926,66.93385,535.4708,5657.42189814815,45259.3751851852,,,
4.24000000000001,Prestressed steel Rebar,Prestressed steel Rebar  As per AGES-SP-01-001,T,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.25000000000001,GROUT-EPOXY,"EPOXY GROUTING MATERIAL -  MINIMUM COMPRESSIVE STRENGTH AT 7 DAYS OF 96MPA (AS PER ASTM C579)
refer to AGES-SP-01-004;AGES-STD-01-101",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.26000000000001,GROUT-NON SHRINK CEMENTITIOUS,"NON SHRINKAGE GROUTING MATERIAL - MINIMUM COMPRESSIVE STRENGTH AT 7 DAYS OF 35MPA (AS PER ASTM C109) 
refer to AGES-SP-01-004;AGES-STD-01-101",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.27000000000001,SSB suphur pilewall and column corrossion,SSB suphur pile wall corrossion as per refer to AGES-SP-01-001;AGES-STD-01-101/102,M2,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.28000000000001,Paving POLYETHYLENE SHEET,"0.25MM THK CONFIRMING TO ASTM D2103 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,15100,100,,,,,,15000,,,1.03037037037037,15558.5925925926,1.1128,16803.28,2.02111111111111,30518.7777777778,0.161688888888889,2441.50222222222,0,0,3.29421296296296,49742.6157407407,,,
4.29000000000001,Foundation POLYETHYLENE SHEET,"0.25MM THK CONFIRMING TO ASTM D2103 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,12238,1585,,,,,3255,7398,,,1.03037037037037,12609.6725925926,1.1128,13618.4464,2.02111111111111,24734.3577777778,0.161688888888889,1978.74862222222,0,0,3.29421296296296,40314.5782407407,,,
4.30000000000001,HIGH DENSITYPOLYETHYLENE LAMINATED BITUMEN SHEET,"1.5MM THICK SELF-ADHESIVE, HIGH DENSITYPOLYETHYLENE LAMINATED BITUMEN SHEET MEMBRANE 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,40679,5255,,,,,12396,23028,,,9.39222222222222,382066.207777778,10.1436,412631.5044,30.1977777777778,1228415.40222222,2.41582222222222,98273.2321777777,0,0,42.7603703703704,1739449.1062963,,,
4.31000000000001,30mm LAYER OF SCREED,"30mm LAYER OF SCREED (CAN BE REPLACED WITH 5mm THICK HARD
POLYPROPYLENE BASED PROTECTION BOARD OR SIMILAR APPROVED,
SUBJECT TO COMPANY APPROVAL)",M2,11501,1485,,,,,2883,7133,,,19.1014814814815,219686.138518519,20.6296,237261.0296,17.4023611111111,200144.555138889,1.39218888888889,16011.5644111111,3.38655,38948.71155,42.8148611111111,492413.717638889,,,
4.32000000000001,MEMBRANE PROTECTION BOARD,"MEMBRANE PROTECTION BOARD (3.5mm THICK BITUMEN IMPREGNATEDFIBREBOARD OR 12mm THICK BITUMEN IMPREGNATED SOFT 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,28435,3670,,,,,9134,15631,,,15.965787037037,453987.154398147,17.24305,490306.12675,69.0447222222222,1963286.67638889,5.52357777777778,157062.934111111,0,0,91.8119444444444,2610672.64027778,,,
4.33000000000002,ABOVE GROUND CONCRETE SURFACE PROTECTION (Foundation),"PRIMER: A PENETRATING SILANE SILOXANE
HYDROPHOBIC PRIMER APPLIED AS A FLOOD COAT AT A
RATE OF 0.4 LITRES/M2;
TWO COATS OF AN ACRYLIC POLYMER COATING
SYSTEM OF 150 MICRONS (DFT) EACH TOTAL DFT 300 MICRONS
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,5749,931,,,,,2799,2019,,,26.7351388888889,153700.313472222,28.87395,165996.33855,71.7890740740741,412715.386851852,5.74312592592593,33017.2309481482,0,0,106.405555555556,611725.538888891,,,
4.34000000000002,REFRACTORY CASTABLE WITH SS ANCHORS( Sulphur pits),100 mm thick refractory castable with SS anchors.   ( (Materical Discirble refer to AGES-SP-01-001 ),M2,105,75,,,,,30,,,,22.8068518518519,2394.71944444445,24.6314,2586.297,204.800972222222,21504.1020833333,16.3840777777778,1720.32816666667,0,0,245.817638888889,25810.8520833333,,,
4.35000000000002,STAINLESS STEEL  WITH INSULATION( Sulphur pits),"3mm thick stainless steel lining throughout, with75mm insulation    (Materical Discirble refer to AGES-SP-01-001)",M2,63,39,,,,,24,,,,22.8068518518519,1436.83166666667,24.6314,1551.7782,204.800972222222,12902.46125,16.3840777777778,1032.1969,0,0,245.817638888889,15486.51125,,,
4.36000000000002,ISOLATION JOINT FILLER,"FLEXCELL OR EQUIVALENT FIBRE BOARD JOINT FILLER
1) 10 THK FOR STRUC/STATIC EQUIPMENT
2) 25 THK FR HEAVY VIBRATIING EQUIPMENT
Including  SSB dike wall EJ, Tank Dike wall EJ and old/new connection ect. 
 Refer to AGES-SP-01-001;AGES-STD-01-101/AGES-STD-01-109",M,100,50,,,,,,50,,,11.0764814814815,1107.64814814815,11.9626,1196.26,426.132453703704,42613.2453703704,34.0905962962963,3409.05962962963,0.214,21.4,472.405,47240.5,,,
4.37000000000002,BUILDING JOINT FILLER,JIONT DESCRIBLE Refer to AGES-STD-01-109/AGES-STD-01-302,M,50,50,,,,,,,,,11.0764814814815,553.824074074075,11.9626,598.13,426.137407407407,21306.8703703704,34.0909925925926,1704.54962962963,0.21935,10.9675,472.409953703704,23620.4976851852,,,
4.38000000000002,PVC WATER STOP,"10mm minimum thickness in accordance with BS 2571 and ASTM D412-75 and ASTM D638 for PVC 
Minimum width of water stop shall be 230mm for concrete section greater than 200mm wide and150mm for concrete section less than 200mm .
refer to AGES-SP-01-001;AGES-STD-01-101",M,802,,,,,,802,,,,18.9925,15231.985,20.5119,16450.5438,20.2953240740741,16276.8499074074,1.62362592592593,1302.1479925926,0,0,42.4334259259259,34031.6075925926,,,
4.39000000000002,HDPE SHEET,"2mm THK (inculding HDPE LINER inserts ect.）
Refer to AGES-STD-01-015 and AGES-SP-01-001",M2,7237,7150,,,,,87,,,,1.03037037037037,7456.79037037037,1.1128,8053.3336,77.6839814814815,562198.973981482,6.21471851851852,44975.9179185185,0,0,85.0055555555556,615185.205555556,,,
4.4,HDPED RAIN PIPE,DIA FLEXIBLE HDPED RAIN PIPE (hold),,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,
4.40999999999998,FOAMGLAS INSULATION,Detail refer to AGES-SP-01-001;AGES-STD-01-015 FOAMGLAS INSULATION 225MM FOR TANK BASE,M2,15,,,,,,15,,,,21.8606944444444,327.910416666666,23.60955,354.14325,127.121944444444,1906.82916666666,10.1697555555556,152.546333333334,0,0,160.90125,2413.51875,,,
4.41999999999996,"ANCHOR BOLT 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","TYPE A Steel ASTM F1554 Grade 36 or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123 
refer to AGES-SP-01-004;AGES-STD-01-111",T,29,8,,,,,,21,,,2080.55555555556,60336.1111111112,2247,65163,1539.35847222222,44641.3956944444,123.148677777778,3571.31165555556,1908.70345,55352.40005,5818.20921296296,168728.067175926,,,
4.42999999999994,"ANCHOR BOLT 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","TYPE A Steel ASTM F1554 Grade 36 (WITH SLEEVE) or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,0,,,,,,,,,,2080.55555555556,0,2247,0,1539.36342592593,0,123.149074074074,0,1908.7088,0,5818.21416666667,0,,,
4.44,"ANCHOR BOLT 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","Steel ASTM A320-A320M Grade L7 or Approved Equal  for low temperature and cold service
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,1,,,,,,,,,,2080.55555555556,2080.55555555556,2247,2247,1539.35847222222,1539.35847222222,123.148677777778,123.148677777778,1908.70345,1908.70345,5818.20921296296,5818.20921296296,RATE ONLY,,
