,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,,
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,,
,,,,,"UNIT 10 
General
","UNIT 10 Operation
Building",UNIT 10 Substation,"UNIT 10
 LCR","UNIT 10 
Operator Shelter",TANK,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,
,,,,Q,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,
4.30000000000001,HIGH DENSITYPOLYETHYLENE LAMINATED BITUMEN SHEET,"1.5MM THICK SELF-ADHESIVE, HIGH DENSITYPOLYETHYLENE LAMINATED BITUMEN SHEET MEMBRANE 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,1754,,,,,,1754,,,,9.39222222222222,16473.9577777778,10.1436,17791.8744,30.1977777777778,52966.9022222223,2.41582222222222,4237.35217777777,,0,42.7603703703704,75001.6896296297,,,
4.31000000000001,30mm LAYER OF SCREED,"30mm LAYER OF SCREED (CAN BE REPLACED WITH 5mm THICK HARD
POLYPROPYLENE BASED PROTECTION BOARD OR SIMILAR APPROVED,
SUBJECT TO COMPANY APPROVAL)",M2,467,,,,,,467,,,,19.1014814814815,8920.39185185186,20.6296,9634.0232,17.4023611111111,8126.90263888888,1.39218888888889,650.152211111112,3.38655,1581.51885,42.8148611111111,19994.5401388889,,,
4.32000000000001,MEMBRANE PROTECTION BOARD,"MEMBRANE PROTECTION BOARD (3.5mm THICK BITUMEN IMPREGNATEDFIBREBOARD OR 12mm THICK BITUMEN IMPREGNATED SOFT 
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,1226,,,,,,1226,,,,15.965787037037,19574.0549074074,17.24305,21139.9793,69.0447222222222,84648.8294444444,5.52357777777778,6771.90635555556,,0,91.8119444444444,112561.443888889,,,
4.33000000000002,ABOVE GROUND CONCRETE SURFACE PROTECTION (Foundation),"PRIMER: A PENETRATING SILANE SILOXANE
HYDROPHOBIC PRIMER APPLIED AS A FLOOD COAT AT A
RATE OF 0.4 LITRES/M2;
TWO COATS OF AN ACRYLIC POLYMER COATING
SYSTEM OF 150 MICRONS (DFT) EACH TOTAL DFT 300 MICRONS
refer to AGES-SP-01-001;AGES-STD-01-101/102",M2,1058,,,,,,1058,,,,26.7351388888889,28285.7769444445,28.87395,30548.6391,71.7890740740741,75952.8403703704,5.74312592592593,6076.22722962963,,0,106.405555555556,112577.077777778,,,
4.34000000000002,REFRACTORY CASTABLE WITH SS ANCHORS( Sulphur pits),100 mm thick refractory castable with SS anchors.   ( (Materical Discirble refer to AGES-SP-01-001 ),M2,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.35000000000002,STAINLESS STEEL  WITH INSULATION( Sulphur pits),"3mm thick stainless steel lining throughout, with75mm insulation    (Materical Discirble refer to AGES-SP-01-001)",M2,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.36000000000002,ISOLATION JOINT FILLER,"FLEXCELL OR EQUIVALENT FIBRE BOARD JOINT FILLER
1) 10 THK FOR STRUC/STATIC EQUIPMENT
2) 25 THK FR HEAVY VIBRATIING EQUIPMENT
Including  SSB dike wall EJ, Tank Dike wall EJ and old/new connection ect. 
 Refer to AGES-SP-01-001;AGES-STD-01-101/AGES-STD-01-109",M,50,,,,,,50,,,,11.0764814814815,553.824074074075,11.9626,598.13,426.132453703704,21306.6226851852,34.0905962962963,1704.52981481481,0.214,10.7,472.405,23620.25,,,
4.37000000000002,BUILDING JOINT FILLER,JIONT DESCRIBLE Refer to AGES-STD-01-109/AGES-STD-01-302,M,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.38000000000002,PVC WATER STOP,"10mm minimum thickness in accordance with BS 2571 and ASTM D412-75 and ASTM D638 for PVC 
Minimum width of water stop shall be 230mm for concrete section greater than 200mm wide and150mm for concrete section less than 200mm .
refer to AGES-SP-01-001;AGES-STD-01-101",M,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.39000000000002,HDPE SHEET,"2mm THK (inculding HDPE LINER inserts ect.）
Refer to AGES-STD-01-015 and AGES-SP-01-001",M2,2413,,,,,,2413,,,,1.03037037037037,2486.2837037037,1.1128,2685.1864,77.6839814814815,187451.447314815,6.21471851851852,14996.1157851852,,0,85.0055555555556,205118.405555556,,,
