# Source: Att 01_BOQ - Civil - BLDG Pkg I.xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"
# Internal revision: Rev.A

,,,,PART II EXHIBIT D CONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES
,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,CONTRACT NO. :XXXXX
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,
All Inclusive Equipment Rates,,,,
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (AED),DAY RATE FOR WORK (AED),DAY RATE FOR STAND-BY (AED)
118,Mobile Crane 40 T,71175,3558.75,2847
118,"Mobile Crane, 18T",35770,1788.5,1430.8
119,"RT Crane, 51 - 60 T",NA,NA,NA
119,"RT Crane, 41 - 50 T",NA,NA,NA
120,"RT Crane, 30 - 40 T",NA,NA,NA
120,"RT Crane, 18 - 20 T",NA,NA,NA
121,4WD Landcruiser with A/C,16425,821.25,657
121,Saloon Car (5 seater with A/C),13505,675.25,540.2
122,Others ( BIDDER to specify),,,
Special Notes,,,,
"1.The above daily equipment rates shall apply for 10 hours/day of operational use of Subcontractor-owned and supplier's construction equipment which has been mobilized to the general vicinity of WORK SITE. And the monthly rate applies for the equipment which to be rented for at least 1 month. When Subcontractor's equipment does not resemble the equipment having rates listed herein, the rate shall be negotiated and agreed upon in writing by Contractor.",,,,
"2.Equipment rates shall include all costs to Subcontractor for mobilization, demobilization, loading and off-loading, assembly and disassembly, overtime premium, bonuses, holidays premium, fuel, maintenance, repairs, insurance, overhead and profits, and any other allowance and/or expense incurred to Subcontractor in compliance with all applicable Federal, State and Local laws.",,,,
3.Equipment rates shall include all typical equipment accessories required for use within the equipment including spare parts.,,,,
"4.Any equipment standby time for changes in SUBCONTRACT WORK caused by CONTRACTOR shall be approved by CONTRACTOR (if applicable), and shall be paid at the percentages quoted above.",,,,
5.Subcontractor's costs for any construction equipment not available at jobsite which must be rented by Subcontractor or its low tier subcontractor or suppliers for the execution of changes to SUBCONTRACT WORK shall be reimbursed at actual cost to Subcontractor plus.5%-(five percent).,,,,
"6.The cost for equipment drivers, operators, fuelers, oilers etc. are included in the Construction Equipment rates.",,,,
"7. VAT will be excluded in the proposal and submit together with the invoice, which is required to be approved by Wison.",,,,
,,,,
