# Source: Att 01_BOQ - Civil - BLDG Pkg I_Rev.A.xlsx
# Sheet: BLDG （Green)
"# Rows: 211, Cols: 27"

,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BLDG （Green),,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025,
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS-BASE SCOPE,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,
,,,,,"UNIT 10 
Operator 
Shelter",UNIT 10 Substation,"UNIT 10 
Operation Building","UNIT 10 
LCR",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,Q,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
NO.0,,Demolition and Modification,,,,,,,,,,,,,,,,,,,,,,,,
3.9,Wall,200 thk. insulated block wall,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
3.10,Wall,200 thk. insulated block wall/Fire wall,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
3.11,Wall,350mm thk.cavity wall(200mm concrete block+50mm insulation layer+100mm concrete block),M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
NO.4,,Painting,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Painting,"Ext Wall : 
1. 20mm thk. cement plaster (12 thk. average base coat in cm 1:5 and 8mm thk. finish coat in cm 1:3) 
2. High-build epoxy textured,weather-resistant coating system on plastered surfaces.",M2,1800,,,,,,,,1800,2.5,4500,86.6875,156037.5,35.72,64296,14.5731617647059,26231.6911764706,1.61029411764706,2898.52941176471,138.590955882353,249463.720588235,,
4.3,Painting,"Ext Wall : 
1. 20mm thk. cement plaster (12 thk. average base coat in cm 1:5 and 8mm thk. finish coat in cm 1:3) 
2. one coat of primer and two coat of acrylic emulsion exterior paint",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
4.4,Painting,"Ext Wall:
High-build epoxy textured, weather-resistant coating system",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
4.5,Painting,"Int Wall : 
1. 12mm thk. cement plaster  in cm 1:3
2. Acrylic copolymer base washable emulsion paint system on plastered surfaces.",M2,1800,,,,,,,,1800,2,3600,69.35,124830,34.901,62821.8,10.6923529411765,19246.2352941177,1.61029411764706,2898.52941176471,116.553647058824,209796.564705882,,
4.6,Painting,"Int Wall : 
1. 12mm thk. cement plaster  in cm 1:3
2. Chemical resistant epoxy paint system on plastered surfaces.",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
4.7,Painting,"Int Wall : 
1. 12mm thk. cement plaster  in cm 1:3
2. Plastic acrylic copolymer base washable emulsion paint system on plastered surfaces.",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
NO.5,,Ceiling,,,,,,,,,,,,,,,,,,,,,,,,
5.1,Ceiling,"70mm thick foil backed XPS insulation board over 1 coat of cold applied bituminous layer,",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
5.2,Ceiling,600mmx600mm acoustic lay-in ceiling tile(H=3000mm from FFL),M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
5.3,Ceiling,600mmx600mm acoustic lay-in water/moisture resistant ceiling tile(H=3000mm from FFL),M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
5.4,Ceiling,Above ground concrete coating system for concrete surfaces,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
5.5,Ceiling,"Acoustic Suspended ceiling of aluminium panels 0.7 mm thick, pre-finished, powder coated, including 50mm thick rock wool insulation and acoustic pads above ",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
5.6,Ceiling,Acrylic copolymer base washable emulsion paint system on  fair faced smooth finished concrete or plastered surfaces,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
5.7,Ceiling,Chemical Resistant Epoxy paint system on fair faced smooth finished concrete or plastered surfaces,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
5.8,Ceiling,"Decorative Suspended ceiling of aluminium panels 0.7 mm thick, pre-finished, powder coated, including 50mm thick rock wool insulation and acoustic pads above",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
5.9,Ceiling,concrete protective coating system for concrete surface above ceiling,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
5.10,Ceiling,Painted on exposed concrete(one coat of primer and two coats of plastic emulsion interior paint,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
