# Source: Att 01_BOQ - Civil - BLDG Pkg I.xlsx
# Sheet: PLOT PLAN（Green）
"# Rows: 104, Cols: 26"
# Internal revision: Rev.A

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLOT PLAN（Green）,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Reference,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,"UNIT 10 
General",UNIT 10 Substation,"UNIT 10 
Operations Building",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
2.13,Earth Work,50MM THK ANTI CORROSIVE LAYER CONSISTING OF COARSE SAND MIXED WITH ASPHALT.,,M3,0,,,,,,,,,0,,0,,0,,0,,0,,0,
NO.3,,Concrete,,,,,,,,,,,,,,,,,,,,,,,
3.1,Concrete,CONCRETE - Minor Volume Concrete (V<0.3m3) (fc'=35N/mm²),,M3,40,40,,,,,,,42,1680,1456.35,58254,477,19080,335.082882352941,13403.3152941176,62.8014705882353,2512.05882352941,2331.23435294118,93249.3741176471,
3.2,Rebar,REBAR - PLAIN STEEL BARS ASTM A615/A615M GRADE 40  (fy'=280N/mm²),,T,5,5,,,,,,,75,375,2600.625,13003.125,2982,14910,132.527205882353,662.636029411765,155.661764705882,778.30882352941,5870.81397058823,29354.0698529412,
NO.4,,Paving,,,,,,,,,,,,,,,,,,,,,,,
4.1,Paving1,"Asphalt paving
50 mm thk. Asphalt concrete wearing course;                                                        50 mm thk. Asphalt concrete bearing course;                                                       250mm thk.aggregate base course; 
Compacted Subgrade(min 70 CBR );
250mm thk.aggregate subbase course; Compacted Subgrade(min 70 CBR );
Select fill subgrade compacted （min CBR20）,max dry density thk 200mm",,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
4.1.1,,50 mm thk. Asphalt concrete wearing course;,,M3,0,0,,,,,,,,0,,0,,0,,0,,0,,0,
4.1.2,,50 mm thk. Asphalt concrete bearing course;,,M3,0,0,,,,,,,,0,,0,,0,,0,,0,,0,
4.1.3,,250mm thk.aggregate base course;,,M3,0,0,,,,,,,,0,,0,,0,,0,,0,,0,
4.1.4,,Compacted Subgrade(min 70 CBR );,,M2,0,0,,,,,,,,0,,0,,0,,0,,0,,0,
4.1.5,,250mm thk.aggregate subbase course;,,M3,0,0,,,,,,,,0,,0,,0,,0,,0,,0,
4.1.6,,"Compacted Subgrade(min 70 CBR );
Select fill subgrade compacted （min CBR20）,max dry density thk 200mm",,M2,0,0,,,,,,,,0,,0,,0,,0,,0,,0,
4.2,Paving2,"Heavy Duty Paving
200 mm THK concrete grade 30F with two layers  wire mesh A252;
0.25 THK Polyethylene membrane;
250mm THK coarse granular subbase;
compacted subgrade, (E.J / I.J / C.J are all included)",AGES-SP-01-005  Roads and Paving - Design and Construction Specification,M2,10127.5,10127.5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
4.2.1,,200 mm THK concrete grade 30F,,M3,2025.5,2025.5,,,,,,,15,30382.5,520.125,1053513.1875,487.6,987633.8,30.2627941176471,61297.2894852942,32.2058823529412,65233.0147058824,1070.19367647059,2167677.29169118,
4.2.2,,with two layers  wire mesh A252;,,T,100.0090625,100.0090625,,,,,,,60,6000.54375,2080.5,208068.85453125,4240,424038.425,100.654117647059,10066.3239426471,101.985294117647,10199.4536534926,6523.13941176471,652373.05712739,
4.2.3,,0.25 THK Polyethylene membrane;,,M2,10127.5,10127.5,,,,,,,0.1,1012.75,3.4675,35117.10625,2.875,29116.5625,0.230379411764706,2333.16749264706,1.76058823529412,17830.3573529412,8.33346764705882,84397.1935955883,
4.2.4,,250mm THK coarse granular subbase;,,M3,2531.875,2531.875,,,,,,,1.5,3797.8125,52.0125,131689.1484375,56.25,142417.96875,1.57701470588235,3992.80410845587,14.4926470588235,36693.5707720588,124.332161764706,314793.492068015,
