# Source: Att 01_BOQ - Civil - BLDG Pkg I_Rev.A.xlsx
# Sheet: CIVIL（Brown)
"# Rows: 118, Cols: 20"

,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,CIVIL（Brown),,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Unit,"Qty.
","QUANTITIES
 BY WBS",,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,"UNIT 40 
Conveyor",UNIT 50,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.1,,Piling,,,,,,,,,,,,,,,,,
5.4,Duck bank Pipe Cap,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,3,3,,4.8,14.4,166.44,499.32,66,198,14.8172823529412,44.4518470588236,11.2720588235294,33.8161764705882,258.529341176471,775.588023529412,
5.5,Cable Ditch,UG ELECTRICAL/INSTRUCTUMENT CONCRETE CABLE TRENCH,M3,20,20,,16,320,554.8,11096,1850,37000,54.7585882352941,1095.17176470588,515.294117647059,10305.8823529412,2974.85270588235,59497.0541176471,
5.6,Cable Ditch,DRAINAGE DITCH 1.2m(W)x1.0m(D),M,0,,,,0,,0,,0,,0,,0,,0,
5.7,Cable Trench,"UG ELECTRICAL CONCRETE CABLE TRENCH EXCAVATION
(to be provided by EE)",M3,0,,,,0,,0,,0,,0,,0,,0,
5.8,Cable Trench,"UG ELECTRICAL/INSTRUCTUMENT  BURIED CABLE TRENCH EXCAVATION
(to be provided by EE)",M3,600,600,,0.64,384,22.192,13315.2,0,0,1.86828470588235,1120.97082352941,18.8146764705882,11288.8058823529,42.8749611764705,25724.9767058823,
5.9,Cable Trench,"UG ELECTRICAL DUCKBANK & PULL PIT EXCAVATION
(to be provided by EE)",M3,0,,,,0,,0,,0,,0,,0,,0,
5.1,Cable Trench,"UG INSTRUCTUMENT CONCRETE CABLE TRENCH EXCAVATION
(to be provided by EE)",M3,0,,,,0,,0,,0,,0,,0,,0,
5.11,Cable Trench,"UG INSTRUCTUMENT BURIED CABLE TRENCH EXCAVATION
(to be provided by EE)",M3,0,,,,0,,0,,0,,0,,0,,0,
5.12,Cable Trench,"UG INSTRUCTUMENT DUCT BANK & PULL PIT EXCAVATION
(to be provided by EE)",M3,0,,,,0,,0,,0,,0,,0,,0,
5.13,Cable Trench,"UG ELEC/INSTRUMENT BACKFILL - CLEAN SAND
(to be provided by EE)",M3,60,60,,2.4,144,83.22,4993.2,68.75,4125,5.52996470588235,331.797882352941,5.20661764705882,312.397058823529,162.706582352941,9762.39494117647,
5.14,Cable Trench,"SUPPLY, DELIVERY AND INSTALLATION OF BRICK COVERS FOR ELECTRICAL/INSTRUCTUMENT CABLE TRENCHES COMPLETE IN ALL RESPECTS",M3,60,60,,1.6,96,55.48,3328.8,39.75,2385,3.86556470588235,231.933882352941,3.22058823529412,193.235294117647,102.316152941176,6138.96917647059,
5.15,Earthing Well,Earthing well in accordance with project specifications and drawings,EA,8,8,,16,128,554.8,4438.4,600,4800,44.0232941176471,352.186352941177,64.4117647058824,515.294117647059,1263.23505882353,10105.8804705882,
5.16,GroudWater Monitoring Wells,15m DEEP Groundwater Monitoring Well with 4 Tubular Crash Barries (100mm Dia X 2000 mm Long Pipe SCH40 (hold),EA,1,1,,160,160,5548,5548,4950,4950,461.703529411765,461.703529411765,3864.70588235294,3864.70588235294,14824.4094117647,14824.4094117647,
5.17,CMS and CP Installtionv (Hold),Refer to AGES-SP-07-001 and AGES-STD-01-107/108,,0,,,,0,,0,,0,,0,,0,,0,
,,SUBTOTAL-CIVIL (Brown),,,,,,325511.0844,,11287096.85157,,6377199.535,,1096185.23706295,,1074184.53718107,,19834666.160814,
