# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Electrical (Green）
"# Rows: 321, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,0
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
EL-01-0001,,LIGHTING POLE,"2.4 METER POLE ( for LED Lighting Fixture, Stanchion Mounting Type )
HOT DIPPED GALVANIZED STEEL POLE, MIN 2.5 mm THICKNESS WITH A
PLATE ON POLE FOR MOUNTING EXTERNAL JUNCTION BOX STANCHION
MOUNTING TYPE TO HAND RAIL WITH ALL NECESSARY MOUNTING
ACCESSORIES",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,"FOR LED LIGHT, 70W",,Contractor,set,45,,,,,45,5.7316,257.922,252.419664,11358.88488,0,0,32.4200546352941,1458.90245858823,20.1040441176471,904.68198529412,304.943762752941,13722.4693238824,
,,,"FOR FLUORESCENT LIGHT, 2 x 18W",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-01-0002,,LIGHTING POLE,"1.5 METER POLE ( for Fluorescent Lighting Fixture, Bracket Mounting Type ) HOT DIPPED GALVANIZED STEEL POLE, MIN 2.5 mm THICKNESS  WITH A PLATE ON POLE FOR MOUNTING EXTERNAL JUNCTION BOX   WITH ALL NECESSARY MOUNTING ACCESSORIES",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,"FOR  FLUORESCENT LIGHT, 2 x 36W",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-01-0003,,LIGHTING POLE,"6M POLE (for LED Lighting Fixture , Column Mounting Type ) HOT DIPPED GALVANIZED STEEL COLUMN COLUMN MOUNTING TYPE ON CONCRETE FOUNDATION WITH A PLATE ON POLE FOR MOUNTING EXTERNAL JUNCTION BOX   AND ALL NECESSARY MOUNTING ACCESSORIES COMPLETE  NUMBER ANCHOR BOLTS AND WASHERS FOR COLUMN",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,"FOR STREET LIGHTING, 150W,LED Flood Lighting",,Contractor,set,70,,,,70,,8.28,579.6,364.6512,25525.584,0,0,47.9608552941176,3357.25987058823,149.255661764706,10447.8963235294,561.867717058824,39330.7401941177,
EL-01-0004,,LIGHTING POLE,"10M POLE (for LED Lighting Fixture , Column Mounting Type ) HOT DIPPED GALVANIZED STEEL COLUMN COLUMN MOUNTING TYPE ON CONCRETE FOUNDATION WITH A PLATE ON POLE FOR MOUNTING EXTERNAL JUNCTION BOX   AND ALL NECESSARY MOUNTING ACCESSORIES COMPLETE  NUMBER ANCHOR BOLTS AND WASHERS FOR COLUMN",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,"FOR STREET LIGHTING, 150W,LED Flood Lighting",,Contractor,set,90,,,,90,,11.776,1059.84,518.61504,46675.3536,0,0,63.3572392941176,5702.15153647058,216.583970588235,19492.5573529411,798.556249882353,71870.0624894117,
EL-02,,,ELECTRICAL CONDUIT,,,,,,,,,,,,,,,,,,,,,,
