# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: Instrumentation  (Brown) 
"# Rows: 82, Cols: 23"

,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,"UNIT 50 
MCR（RSHT-2）",Polishing,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
IN-02-05-0005,,Flow Instrument,"V-Cone Flow Meter;
Fluid Name:HIGH PRESSURE STEAM;
Meter Material: ASTM A182 GR. F11 CL2;
Body and Flanges Material: ASTM A182 GR. F11 CL2;
Gasket Material: SP. WINDING + INNER RING: SS 347, FILLER: MICA &GRAPHITE, SS 316 OUTER RING
Bolts Material: STUD: ASTM A193 GR. B16 ASTM A194 GR. 7
Flange:10"" ASME B16.5 900CL RF;      ",,Contractor,set,2,,,66.6,133.2,2933.064,5866.128,0,0,368.595370588235,737.19074117647,101.667095588235,203.33419117647,3403.32646617647,6806.65293235294,Updated new item
IN-02-05-0006,,Flow Instrument,"PD(Positive Displacement) Flowmeter
Fluid name: Nitrogen
Measuring Element Material: 316LSS;
Body Material: 316LSS;
Flange:3"" ASME B16.5 150CL RF; 
Remote Transmitter with 2'' bracket pipe installation; 
with LCD display and Sunshade;
4-20mA+HART output;
IEC Ex ia IIC T4, IP65.     ",,Contractor,set,2,,,49.9392,99.8784,2199.322368,4398.644736,0,0,276.396266211765,552.79253242353,76.2469485294118,152.493897058824,2551.96558274118,5103.93116548235,Updated new item
IN-02-05-0007,,Flow Computer,"High Accuracy Flow Computer:
Power supply: 240V AC UPS;
Input: 2 AI inputs for Temperature Transmitter and Pressure Transmitter
Output: 4~20mA and RS485 for MODBUS protocol
Panel mounted, located in IES6 Rack Room",,Contractor,set,2,,,34.776,69.552,1531.53504,3063.07008,0,0,178.929856941176,357.859713882352,64.8321691176471,129.664338235294,1775.29706605882,3550.59413211765,Updated new item
IN-02-05-0008,,Flow Metering Panel,"Panel Size: 800Wx800Dx2100H(mm)
Including Power distribution, Fiber Converter, Earthing, etc",,Contractor,set,1,,,132.264,132.264,5824.90656,5824.90656,0,0,699.196656,699.196656,308.792720588235,308.792720588235,6832.89593658824,6832.89593658824,Updated new item
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Instrumentation  (Brown) TOTAL,,,,,,,,8377.54128,,368946.9179712,,13006.9117647059,,61303.2681206495,,31977.6275,,475234.725356555,
NOTES:,,,,,,,,,,,,,,,,,,,,,,
1,,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings.",,,,,,,,,,,,,,,,,,,
1.1,,,"""Materials""includes the cost of all equipment and materials should be supplied by Subcontractor for the delivery and erection of equipment and materials that become a permanent part of WORK,and and all transportation, assessments and permit fees related to such equipment and materials.",,,,,,,,,,,,,,,,,,,
1.2,,,"""Construction"" includes all labor required to complete WORK,all consumables required for temporary construction ,all consumables supplied by Subconstractor but not included in the Materials,all construction supplies and expendables,all construction tools and equipment,all field labor and supervision,and all transportation, assessments and permit fees related to such construction items.",,,,,,,,,,,,,,,,,,,
1.3,,,"""Indirect Cost"" includes all costs which do not become a final part of the Project, but which are required for the orderly completion of the construction work and may include, but are not limited to, field administration, temporary facilities, subcontractor's fees, insurance, taxes, overhead and profit etc.",,,,,,,,,,,,,,,,,,,
2,,,Above items of work are not exhaustive. And any work which is not mentioned above but needed for  completeness of the PLANT is deemed to have been included in above itemized activities.,,,,,,,,,,,,,,,,,,,
3,,,"It should be filled strictly in accordance with the ""Bill of Quantities and Unit Price"", not allowed to add or delete the items, or change the order.",,,,,,,,,,,,,,,,,,,
