# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Instrumentation(Green）
"# Rows: 227, Cols: 23"

,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,"UNIT 10 
General",UNIT 20,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
IN-02-03,,,Valves,,,,0,,,,0,,0,,0,,0,,0,0,0,
IN-02-03-0001,,Control valve,"Globe（Single seat globe);  
Flange：3"" ASME CL300 RF; 
Body Material ：ASTM A351-CF8M;  
Trim Material:SS316+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FO,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,Contractor,ea,1,1,,26.956,26.956,1187.14224,1187.14224,,0,138.197606352941,138.197606352941,76.4088602941177,76.4088602941177,1401.74870664706,1401.74870664706,
IN-02-03-0002,,Control valve,"Globe（Single seat globe);  
Flange：6"" ASME CL300 RF; 
Body Material ：ASTM A351-CF8M;  
Trim Material:SS316+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,Contractor,ea,2,2,,31.326,62.652,1379.59704,2759.19408,,0,161.037527529412,322.075055058824,78.6216544117647,157.243308823529,1619.25622194118,3238.51244388235,
IN-02-03-002,,Control valve,"Control Valve // Body_Type:Plug; Size:3""; Rating:150# RF; Body_Material:A216 GR. WCB; Plug Material:API Trim #8; Actuator_Type:SPRING & DIAPHRAGM;Leakage:Class IV; Positioner:Digital Smart ; Signal:4-20mA+HART.",,Contractor,ea,3,,3,26.956,80.868,1187.14224,3561.42672,,0,138.197606352941,414.592819058823,76.4088602941177,229.226580882353,1401.74870664706,4205.24611994118,
IN-02-03-0003,,Control valve,"Globe（Single seat globe);  
Flange：2"" ASME CL300 RF; 
Body Material ：ASTM A351-CF8M;  
Trim Material:SS316+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FO,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,Contractor,ea,1,1,,24.7296,24.7296,1089.091584,1089.091584,,0,127.658540752941,127.658540752941,76.1794852941176,76.1794852941176,1292.92961004706,1292.92961004706,
IN-02-03-0004,,Control valve,"Globe（Single seat globe);  
Flange：2"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FO,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,Contractor,ea,1,1,,24.7296,24.7296,1089.091584,1089.091584,,0,127.658540752941,127.658540752941,76.1794852941176,76.1794852941176,1292.92961004706,1292.92961004706,
IN-02-03-0005,,Control valve,"Globe（Double seat globe);  
Flange：12"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI VI(TSO);
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;
PROXIMITY SWITCHES ,IP65,ELECTRIAL CONNECTION: ISO M20",,Contractor,ea,1,1,,47.104,47.104,2074.46016,2074.46016,,0,237.054280705882,237.054280705882,127.505514705882,127.505514705882,2439.01995541176,2439.01995541176,
IN-02-03-0006,,Control valve,"Globe（Double seat globe);  
Flange：16"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI VI(TSO);
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;
PROXIMITY SWITCHES - 1NOS.(TAG NO.: 1032-PZSO -0013),IP65,ELECTRIAL CONNECTION:ISO M20",,Contractor,ea,1,1,,55.6876,55.6876,2452.481904,2452.481904,,0,282.617425694118,282.617425694118,171.343125,171.343125,2906.44245469412,2906.44245469412,
IN-02-03-0007,,Control valve,"Globe（Double seat globe);  
Flange：10"" ASME CL900 RF; 
Body Material ：ASTM A217 WC6;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;
PROXIMITY SWITCHES - 1NOS.IP65,ELECTRIAL CONNECTION: ISO M20",,Contractor,ea,1,1,,43.3136,43.3136,1907.530944,1907.530944,,0,218.904153223529,218.904153223529,128.719852941176,128.719852941176,2255.15495016471,2255.15495016471,
IN-02-03-0008,,Control valve,"Globe（Single seat globe);  
Flange：3"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,Contractor,ea,1,1,,26.956,26.956,1187.14224,1187.14224,,0,138.197606352941,138.197606352941,76.4088602941177,76.4088602941177,1401.74870664706,1401.74870664706,
