# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Piping (Brown) 
"# Rows: 90, Cols: 38"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025",
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
 Supplied By",size,"Schedule
/Rating",Joint Type,UNIT,Qty.,QUANTITY,,,,,,QUANTITIES BY WBS -Change Order,,,,,,Weight (t),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK,
,,,,,,,,,,"UNIT 50 
","UNIT 50 
B3&B4","UNIT 50 
RSHT2","UNIT 50
General","GUP
(PROCESS WATER)","UNIT 40 
Conveyor",HP Steam,Nitrogen,Polishing,Day Vessel,Other to specify,Other to specify,Unit,Total,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,,,,,,Q,,,,,,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
AP-01,,Connection Joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-05-0007,PAINTING,"Primer Coat Phenolic epoxy
(150 μm)",,Subcontractor,,,,m2,623,,623,,,,,,,,,,,,,1.44,897.12,63.4176,39509.1648,12.633975,7870.966425,9.57999529411765,5968.3370682353,3.19128088235294,1988.16798970588,88.8228511764706,55336.6362829412,BOQ quantities have been updated.,
AP-05-0008,PAINTING,Interm. Coat Finish -,,Subcontractor,,,,m2,623,,623,,,,,,,,,,,,,1.44,897.12,63.4176,39509.1648,12.633975,7870.966425,9.57999529411765,5968.3370682353,3.19128088235294,1988.16798970588,88.8228511764706,55336.6362829412,BOQ quantities have been updated.,
AP-05-0009,PAINTING,"Finish Coat Phenolic epoxy
(150 μm)",,Subcontractor,,,,m2,623,,623,,,,,,,,,,,,,1.44,897.12,63.4176,39509.1648,12.633975,7870.966425,9.57999529411765,5968.3370682353,3.19128088235294,1988.16798970588,88.8228511764706,55336.6362829412,BOQ quantities have been updated.,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
AP-06,,Surface preparation,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
AP-06-0001,Surface preparation,Sa 2½,,Subcontractor,,,,m2,3854,,3254,,,,,550,50,,,,,,,1.44,5549.76,63.4176,244411.4304,0,0,13.8976423529412,53561.5136282354,8.90514705882353,34320.4367647059,86.2203894117647,332293.380792941,,
AP-06-0002,Surface preparation,"Sa 2½ for CS,
See par 13.6
for SS",,Subcontractor,,,,m2,185,,185,,,,,,,,,,,,,1.44,266.4,63.4176,11732.256,0,0,13.8976423529412,2571.06383529412,8.90514705882353,1647.45220588235,86.2203894117647,15950.7720411765,,
,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,396917.907900875,,17480264.6639546,,1567227.57753277,,3360729.4633685,,1347549.04481178,,23755770.7496676,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,,"""Materials""includes the cost of all equipment and materials should be supplied by Subcontractor for the delivery and erection of equipment and materials that become a permanent part of WORK,and and all transportation, assessments and permit fees related to such equipment and materials.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,,"""Construction"" includes all labor required to complete WORK,all consumables required for temporary construction ,all consumables supplied by Subconstractor but not included in the Materials,all construction supplies and expendables,all construction tools and equipment,all field labor and supervision,and all transportation, assessments and permit fees related to such construction items.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,,"""Indirect Cost"" includes all costs which do not become a final part of the Project, but which are required for the orderly completion of the construction work and may include, but are not limited to, field administration, temporary facilities, subcontractor's fees, insurance, taxes, overhead and profit etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Above items of work are not exhaustive. And any work which is not mentioned above but needed for  completeness of the PLANT is deemed to have been included in above itemized activities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,"It should be filled strictly in accordance with the ""Bill of Quantities and Unit Price"", not allowed to add or delete the items, or change the order.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,"C/S includes C/S, C/S Sour, LTCS etc.
S/S includes 304, 304L, 316, 316L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
