# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Piping (Green）
"# Rows: 257, Cols: 42"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025",
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,Material Supplied By,"SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,QUANTITY,,,,,,,,,,,QUANTITIES BY WBS -Change Order,,,,,Weight (t),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK,
,,,,,,,,,,"UNIT 10 31
Inslrument & Utlity Air System,
Nitrogen","UNIT 10 23
Process Water System Recovery System","UNIT 10 
Substation","UNIT 10 32
Steam Distribution and
Condensate Recovery System","UNIT 10 
Operations Building","UNIT 10 
Operator
Sehlter","UNIT 10 
LCR","UNIT 10 
General","UNIT 20
AP-01-22,CARBON STEEL,"CS,1.5,CL800,Fillet Weld",CS,Contractor,1.5,CL800,Fillet Weld,Dia-Inch,30,,,,,,,,,,,,,,,,,0.02826,0.8478,4.811050026783,144.33150080349,211.878643179523,6356.35929538569,,0,45.4836810817354,1364.51043245206,20.8057051261944,624.171153785832,278.168029387453,8345.04088162359,,
AP-01-23,CARBON STEEL,"CS,1.5,CL 3000,Fillet Weld",CS,Contractor,1.5,CL 3000,Fillet Weld,Dia-Inch,49.5,,,,,,,,,,,,,,,,,0.04256,2.10672,4.811050026783,238.146976325758,211.878643179523,10487.9928373864,,0,45.4836810817354,2251.4422135459,20.8057051261944,1029.88240374662,278.168029387453,13769.3174546789,,
AP-01-24,CARBON STEEL,"CS,1.5,CL 6000,Fillet Weld",CS,Contractor,1.5,CL 6000,Fillet Weld,Dia-Inch,15,,,,,,,,,,,,,,,,,0.03332,0.4998,4.811050026783,72.165750401745,211.878643179523,3178.17964769285,,0,45.4836810817354,682.255216226031,20.8057051261944,312.085576892916,278.168029387453,4172.52044081179,,
AP-01-25,CARBON STEEL,"CS,2,S-80,Butt Weld",CS,Contractor,2,S-80,Butt Weld,Dia-Inch,333.179487179487,,,,,,,,,,,,,,,,,0.03682,12.2676687179487,5.34561114087,1781.04797857602,235.420714643915,78437.3529764879,,0,50.5374234241505,16838.0328198311,23.117450140216,7702.26018261453,309.075588208282,102977.645978934,Jacket quantity deducted,
AP-01-26,CARBON STEEL,"CS,2,S-160,Butt Weld",CS,Contractor,2,S-160,Butt Weld,Dia-Inch,599.281063953393,,,,,,,,,,,,,,,,,0.04176,25.0259772306937,6.380792980848,3823.88840642893,281.010122876546,168404.04541913,,0,60.3240355793034,36151.0522239273,27.5941627070515,16536.6591859849,368.928321162901,221091.756829042,,
AP-01-27,CARBON STEEL,"CS,2,CL150,Fillet Weld",CS,Contractor,2,CL150,Fillet Weld,Dia-Inch,0,,,,,,,,,,,,,,,,,0.04971,0,0,0,0,0,,0,0,0,0,0,0,0,Jacket quantity deducted,
AP-01-28,CARBON STEEL,"CS,2,CL300,Fillet Weld",CS,Contractor,2,CL300,Fillet Weld,Dia-Inch,0,,,,,,,,,,,,,,,,,0.06519,0,0,0,0,0,,0,0,0,0,0,0,0,Jacket quantity deducted,
AP-01-29,CARBON STEEL,"CS,3,S-40,Butt Weld",CS,Contractor,3,S-40,Butt Weld,Dia-Inch,767.923076923077,,,,,,,,,,,,,,,,,0.00541,4.15446384615385,5.34561114087,4105.01815533117,235.420714643915,180784.999560785,,0,50.5374234241505,38808.853695638,23.117450140216,17752.4234422905,309.075588208282,237346.276698713,Jacket quantity deducted,
AP-01-30,CARBON STEEL,"CS,3,S-80,Butt Weld",CS,Contractor,3,S-80,Butt Weld,Dia-Inch,1016.69230769231,,,,,,,,,,,,,,,,,0.01129,11.4784561538462,5.905627546104,6004.20609821975,260.08383713042,264425.236565598,,0,55.8318201638234,56763.7820850197,25.5392782501434,25965.5877409343,341.454935544387,347154.606391552,Jacket quantity deducted,
AP-01-31,CARBON STEEL,"CS,3,CL150,Fillet Weld",CS,Contractor,3,CL150,Fillet Weld,Dia-Inch,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,Jacket quantity deducted,
