# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"

,,,,PART II EXHIBIT D CONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES
,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,CONTRACT NO. :XXXXX
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,,
All Inclusive Equipment Rates,,,,
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (AED),DAY RATE FOR WORK (AED),DAY RATE FOR STAND-BY (AED)
65,"Generator, 25 KVA",8760,438,65.7
65,"Generator, 50 KVA",17155,857.75,128.6625
66,"Generator, 100 KVA",33945,1697.25,254.5875
66,"Generator, 130 KVA",43800,2190,328.5
67,"Generator, 220 KVA",74095,3704.75,555.7125
67,"Generator, 250 KVA",83950,4197.5,629.625
68,Generator 360 KVA,120815,6040.75,906.1125
68,Generator 500 KVA,167900,8395,1259.25
69,"Floodlight, 3,5 kw",10585,529.25,423.4
69,Grit Blast unit + compressor ,67525,3376.25,2701
70,Padding m/c + dozer,67525,3376.25,2701
70,Padding m/c + loader,67525,3376.25,2701
71,"Thrustbore Machine, 30"" P/l, compl.",NA,NA,NA
71,"Thrustbore Machine, 24"" P/l, compl.",NA,NA,NA
72,"Thrustbore Machine for 48""P/l., compl.",NA,NA,NA
72,"Thrustbore Machine for 52"" P/l, compl.",NA,NA,NA
73,"Microtunnelling Machine, 30"" P/l",NA,NA,NA
73,"Microtunnelling Machine, 24"" P/l",NA,NA,NA
74,"Microtunnelling Machine, 48"" P/l",NA,NA,NA
74,"Microtunnelling Machine, 52"" P/l",NA,NA,NA
75,"Horizontal Drilling Rig, 30"" P/l comp.",NA,NA,NA
75,"Horizontal Drilling Rig, 24"" P/l comp.",NA,NA,NA
76,"Horizontal Drilling Rig, 48"" P/l comp.",NA,NA,NA
76,"Horizontal Drilling Rig, 52"" P/l comp.",NA,NA,NA
77,"Container Office, 20""",4380,219,175.2
77,"Container Store, 20""",2190,109.5,87.6
78,"Workshop Container, 20""",2555,127.75,102.2
78,"Workshop Container, 40""",4380,219,175.2
79,"Set:Cleaning, Gauging and Hydrotest Eqp.",42340,2117,1693.6
79,Air Drying Equipment,167900,8395,6716
80,"Concrete Mixer Truck, 5 - 7 M3",NA,NA,NA
80,"Concrete Mixer Truck, 8 - 10 M3",NA,NA,NA
81,"Concrete Pump, Truck mounted",134320,6716,5372.8
81,"Crude Oil Tanker, 10 M3",33945,1697.25,1357.8
82,"Water Pump, 32 M3 / h",3650,182.5,146
82,"Water Pump, 65 M3 / h",4380,219,175.2
83,Level,4380,219,175.2
83,Theodolite,5840,292,233.6
84,Tractor Welder D6,17155,857.75,686.2
84,Tractor Welder D7,21170,1058.5,846.8
85,Nitrogen generator,NA,NA,NA
85,Berm forming machine,NA,NA,NA
86,Hydrotest Cabin and Equipment,NA,NA,NA
86,Lighting Set,NA,NA,NA
87,Truck 6 T/W - Hiab,33945,1697.25,1357.8
87,Truck 10 T/W - Hiab,37960,1898,1518.4
88,Truck - Lube,42340,2117,1693.6
88,Truck C/Pit 400 GL,50735,2536.75,2029.4
89,Truck Cold Storage 27 M3,125925,6296.25,5037
89,Truck - Service,33945,1697.25,1357.8
90,Truck - Tipper 15 M3,42340,2117,1693.6
90,Pipe Lowering-in Equipment,NA,NA,NA
91,Rock Hammer,100740,5037,4029.6
91,Fuel Truck 1500 GL,25550,1277.5,1022
92,Fuel Truck 3000 GL,33945,1697.25,1357.8
92,TR W/Tanker 3000 GL,25550,1277.5,1022
93,TR W/Tanker 5000 GL,33945,1697.25,1357.8
93,TR W/Tanker 6000 GL,42340,2117,1693.6
94,TR W/Tanker 12000 GL,50735,2536.75,2029.4
94,TR TIPP MER3824 15 M3,42340,2117,1693.6
95,Truck 6T,25550,1277.5,1022
95,Scraper 631D,50735,2536.75,2029.4
96,W/Loader BOB CAT 741/3,42340,2117,1693.6
96,Excavator JCB 3C,67525,3376.25,2701
97,Hot Tapping Machine for  4” – 10”,NA,NA,NA
97,Hot Tapping Machine for  12” – 18”,NA,NA,NA
98,Hot Tapping Machine for  20” – 24”,NA,NA,NA
98,Hot Tapping Machine for  26” – 30”,NA,NA,NA
99,Hot Tapping Machine for  36” – 40”,NA,NA,NA
99,Hot Tapping Machine for  42” – 46”,NA,NA,NA
100,Hot Tapping Machine for  48” – 52”,NA,NA,NA
100,Ripper Dozer D8K,67525,3376.25,2701
101,Tow Truck,78475,3923.75,3139
101,Side Boom 594,50735,2536.75,2029.4
102,Side Boom 572,50735,2536.75,2029.4
102,Side Boom 571,50735,2536.75,2029.4
103,Side Boom 583,50735,2536.75,2029.4
103,Compactor Trench 75,42340,2117,1693.6
104,Compactor Trench 65,37960,1898,1518.4
104,Test Pump,3650,182.5,146
105,H.P. Test Pump,5475,273.75,219
105,Well Point Dewatering System,42340,2117,1693.6
106,Forklift 6 Ton,25550,1277.5,1022
106,Dumper 2 T,8760,438,350.4
107,Batching Plant 55 M3,NA,NA,NA
