# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: CIVIL（Green）
"# Rows: 188, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS-BASE SCOPE,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,"UNIT 10 
General
",UNIT 10 Substation,"UNIT 10
 LCR","UNIT 10 
Operator Shelter",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,Q,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.1,,Piling,,,,,,,,,,,,,,,,,,,,,,,
4.44,"ANCHOR BOLT 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","TYPE A Steel ASTM F1554 Grade 36 (WITH SLEEVE) or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
4.45,"ANCHOR BOLT 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","Steel ASTM A320-A320M Grade L7 or Approved Equal  for low temperature and cold service
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,1,,,,,,,,,176,176,5685.24,5685.24,0,0,611.643811764706,611.643811764706,515.294117647059,515.294117647059,6812.17792941177,6812.17792941177,RATE ONLY
4.46,"ANCHOR BOLT 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","ASTM F1554 Grade 105 or Approved Equal for high strength and normal service
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,1,,,,,,,,,176,176,5685.24,5685.24,0,0,611.643811764706,611.643811764706,515.294117647059,515.294117647059,6812.17792941177,6812.17792941177,RATE ONLY
4.47,EXPANSION BOLTS,EXPANSION BOLTS,T,1.5,,0.5,0.5,0.5,,,,,264,396,8527.86,12791.79,17750,26625,685.583364705882,1028.37504705882,687.058823529412,1030.58823529412,27650.5021882353,41475.7532823529,
4.48,EMBEDDED PLATE,"EMBEDDED PLATES / INSERT PLATES/ANGLE STEEL ETC.
HOT DIP GALVANIZED AS PER ASTM A123/A123M referto",T,1,,0.5,0.3,0.2,,,,,176,176,5685.24,5685.24,10650,10650,611.643811764706,611.643811764706,257.647058823529,257.647058823529,17204.5308705882,17204.5308705882,
NO.5,,Others,,,,,,,,,,,,,,,,,,,,,,,
5.1,UPVC Conduit With Removable type CAP,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,20,,10,5,5,,,,,2.64,52.8,85.2786,1705.572,58.575,1171.5,9.46451011764706,189.290202352941,11.2720588235294,225.441176470588,164.590168941176,3291.80337882353,
5.2,PVC Conduit With Removable type CAP,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,20,,10,5,5,,,,,2.64,52.8,85.2786,1705.572,58.575,1171.5,9.46451011764706,189.290202352941,11.2720588235294,225.441176470588,164.590168941176,3291.80337882353,
5.3,PIPE SLEEVING,Galvanize PIPE SLEEVING,M,3,,1,1,1,,,,,1.76,5.28,56.8524,170.5572,34.16875,102.50625,5.82658517647059,17.4797555294118,4.83088235294118,14.4926470588235,101.678617529412,305.035852588235,
5.4,Duck bank Pipe Cap,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,0,,,,,,,,,,0,,0,,0,,0,,0,,0,
