# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: PLOT PLAN（Green）
"# Rows: 83, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Reference,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,"UNIT 10 
General",UNIT 10 Substation,"UNIT 10 
Operations Building",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
3.3.3,,0.25 THK Polyethylene membrane;,,M2,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,
3.3.4,,150mm THK coarse granular subbase;,,M3,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,
3.3.5,,compacted subgrade,,M2,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,
3.4,Paving4,"GRAVEL PAVING
150mm crushed rock or gravel size:Min.10mm Max.50mm;
Compacted subgrade.",AGES-SP-01-005  Roads and Paving - Design and Construction Specification,M2,20813.25,20813.25,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
3.4.1,,150mm crushed rock or gravel size:Min.10mm Max.50mm;,,M3,3121.9875,3121.9875,0,0,0,0,0,0,2.2,6868.3725,71.0655,221865.60268125,137.784375,430161.096445312,1.90439823529412,5945.5074856103,14.4926470588235,45245.8629595587,225.246920294118,703218.069571731,
3.4.2,,Compacted subgrade.,,M2,20813.25,20813.25,0,0,0,0,0,0,0.0088,183.1566,0.284262,5916.4160715,0,0,0.150611710588235,3134.71918540058,1.76058823529412,36643.5630882353,2.19546194588235,45694.6983451359,
3.5,Paving5,"Other type Paving
Walkway(with concrete curb wall on each side of walkway)
60mm THK interlocking concrete blocks;
50mm THK laying course sand;
150mm THK sub-base granular material;
Compacted subgrade

",AGES-SP-01-005  Roads and Paving - Design and Construction Specification,M2,133.75,133.75,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
3.5.1,,Walkway(with concrete curb wall on each side of walkway),,M2,133.75,133.75,0,0,0,0,0,0,1.056,141.24,34.11144,4562.4051,32.92625,4403.8859375,3.58075821176471,478.92641082353,3.86470588235294,516.904411764706,74.4831540941177,9962.12186008824,
3.5.2,,60mm THK interlocking concrete blocks;,,M3,8.025,8.025,0,0,0,0,0,0,17.6,141.24,568.524,4562.4051,846.675,6794.566875,40.3557741176471,323.855087294118,64.4117647058824,516.904411764706,1519.96653882353,12197.7314740588,
3.5.3,,50mm THK laying course sand;,,M3,6.6875,6.6875,0,0,0,0,0,0,1.32,8.8275,42.6393,285.15031875,61.015625,408.0419921875,1.33587423529412,8.93365894852943,5.20661764705882,34.8192555147059,110.197416882353,736.945225400735,
