# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: BLDG （Green)
"# Rows: 210, Cols: 25"

,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS-BASE SCOPE,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,"UNIT 10 
Operator 
Shelter",UNIT 10 Substation,"UNIT 10 
LCR",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.0,,Demolition and Modification,,,,,,,,,,,,,,,,,,,,,,
1.8,Floor,"Carpet Tiles with underlay, laid on terrazzo tiles floor,
included cement screed sub-base, thk. 10 cm, joints and sealing.",M2,55,,,55,,,,,5,275,161.5125,8883.1875,238.5,13117.5,19.5328676470588,1074.30772058823,2.68382352941176,147.610294117647,422.229191176471,23222.6055147059,
1.9,Floor,Chemical resistant non-slip vitrified ceramic floor tiles with chemically resistant tile adhesives and joint grouting.,M2,141,,106,35,,,,,11,1551,355.3275,50101.1775,644.117647058824,90820.5882352942,38.9143676470588,5486.92583823529,2.68382352941176,378.419117647058,1041.04333823529,146787.110691177,
1.10,Floor,concrete steel trowel finshed with dust proof epoxy paint,M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
1.11,Floor,dust proof epoxy paint; 20mm cement mortar,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
1.12,Floor,"50mm hardened concrete screed with galvanized wire mesh of 50X50X3.2mm size, covered with high build, solvent free, hard wearing, abrasion & chemical resistant, epoxy resin floor coating system",M2,1305,,1135,170,,,,,2.5,3262.5,80.75625,105386.90625,222.283823529412,290080.389705883,12.4234191176471,16212.5619485295,5.90441176470588,7705.25735294117,321.367904411765,419385.115257353,
1.13,Floor,"High quality, heavy duty, antistatic PVC tiles on 5-12mm thick cement based, self-levelling, self-smoothing compound on sub-floor",M2,100,100,,,,,,,1,100,32.3025,3230.25,121.9,12190,4.38966176470588,438.966176470588,1.61029411764706,161.029411764706,160.202455882353,16020.2455882353,
1.14,Floor,"Marble tiles
included cement screed sub-base, thk. 10cm, joints and sealing",M2,20,,,20,,,,,3.5,70,113.05875,2261.175,323.3,6466,13.7213161764706,274.426323529412,2.14705882352941,42.9411764705882,452.227125,9044.5425,
1.15,Floor,Marble treads and risers including carborundum strips on treads / Terrazzo / moulded rubber treads on stairs and rubber tile on landings,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
1.16,Floor,non-slip ceramic floor tile(600*600mm);waterproof layer; 20mm cement mortar  ,M2,77,12,,65,,,,,4,308,129.21,9949.17,194.6,14984.2,15.3364411764706,1180.90597058824,2.14705882352941,165.323529411765,341.2935,26279.5995,
1.17,Floor,non-slip glazed ceramic floor tile(600*600mm); 20mm cement mortar  ,M2,202,,,202,,,,,3.5,707,113.05875,22837.8675,169.6,34259.2,13.7213161764706,2771.70586764706,2.14705882352941,433.705882352941,298.527125,60302.47925,
1.18,Floor,non-slip porcelain stoneware floor tile(600*600mm); 20mm cement mortar  ,M2,20,,,20,,,,,3.5,70,113.05875,2261.175,137.8,2756,13.7213161764706,274.426323529412,2.14705882352941,42.9411764705882,266.727125,5334.5425,
1.19,Floor,Non-slip Ceramic tile(600x600mm) ;waterproof layer; 20mm cement mortar,M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
1.20,Floor,Raised access floor with (H=800mm) high pressure laminate,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
1.21,Floor,Raised access floor with (H=800mm) high pressure laminate,M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
1.22,Floor,"Raised modular floor system with 800mm high floor panels finished with 2mm thick factory applied anti-static wearing surface at top and aluminium foil at bottom; concrete floor below to be finished with high build, solvent free, hard wearing, abrasion & chemical resistant, epoxy resin floor coating system",M2,645,,275,370,,,,,5,3225,161.5125,104175.5625,546.211764705882,352306.588235294,17.6005147058824,11352.3319852941,2.14705882352941,1384.85294117647,727.471838235294,469219.335661765,
NO.2,,Skirting,,,,,,,,,,,,,,,,,,,,,,
2.1,Skirting,100mm high PVC tiles,M2,37.6,8,7.6,22,,,,,5,188,161.5125,6072.87,159,5978.4,19.5328676470588,734.435823529411,2.68382352941176,100.911764705882,342.729191176471,12886.6175882353,
2.2,Skirting,100mm(H) ceramic tile,M2,18,,,18,,,,,6.5,117,209.96625,3779.3925,265,4770,25.8275073529412,464.895132352942,3.75735294117647,67.6323529411765,504.551110294118,9081.91998529412,
2.3,Skirting,100mm(H) porcelain stoneware wall tile,M2,5,,,5,,,,,6.5,32.5,209.96625,1049.83125,212,1060,25.8275073529412,129.137536764706,3.75735294117647,18.7867647058824,451.551110294118,2257.75555147059,
2.4,Skirting,1000mm(H) porcelain marble and follow by high build glazed coating system on plastered surfaces,M2,55,,,55,,,,,10,550,323.025,17766.375,848,46640,38.5826470588235,2122.04558823529,5.36764705882353,295.220588235294,1214.97529411765,66823.6411764706,
2.5,Skirting,100mm(H) dust proof epoxy paint,M2,47,,40,7,,,,,2,94,64.605,3036.435,74.75,3513.25,7.90976470588235,371.75894117647,1.28823529411765,60.5470588235296,148.553,6981.991,
2.5,Skirting,100mm(H) granite,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
2.6,Skirting,100mm(H) high pressure laminate,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
2.7,Skirting,100mm(H) high pressure laminate,M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
2.8,Skirting,100mm(H) Marble,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
2.9,Skirting,100mm(H) vitrified tile,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
2.10,Skirting,"300*900*6mm thk.Ceramic tile,3100mm(H),beded on a 12mm thk. cement plaster ",M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
2.11,Skirting,"3100mm(H),300*450*6mm thk. ceramic tile",M2,310,70,,240,,,,,5,1550,161.5125,50068.875,127.2,39432,20.4990441176471,6354.7036764706,1.61029411764706,499.191176470589,310.821838235294,96354.7698529412,
2.12,Skirting,"acid resistant tile,1500mm(H),beded on a 12mm thk. cement plaster ",M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
2.13,Skirting,"Chemical  resistant glazed ceramic tile,1500mm(H),beded on a 12mm thk. cement plaster ",M2,90,,60,30,,,,,15,1350,484.5375,43608.375,858.823529411765,77294.1176470589,51.8353676470588,4665.18308823529,2.68382352941176,241.544117647058,1397.88022058824,125809.219852941,
NO.3,,Wall,,,,,,,,,,,,,,,,,,,,,,
3.1,Wall,100 thk internal concrete block wall ,M2,180,150,0,30,,,,,1.65,297,53.299125,9593.8425,53,9540,5.86130955882353,1055.03572058824,3.22058823529412,579.705882352942,115.381022794118,20768.5841029412,
3.2,Wall,100mm thk. gypsum board system with 50mm thk. PIR insulation,M2,965,215,,750,,,,,2,1930,64.605,62343.825,165.788235294118,159985.647058824,11.7744705882353,11362.3641176471,1.61029411764706,1553.93382352941,243.778,235245.77,
3.3,Wall,150 thk Parapet  RCC wall,M2,460,40,290,130,,,,,8.775,4036.5,283.4544375,130389.04125,108.33,49831.8,105.084009926471,48338.6445661767,12.6488602941176,5818.4757352941,509.517307720589,234377.961551471,
3.4,Wall,200 thk internal concrete block wall,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
3.5,Wall,200 thk internal concrete block wall(2.0h fire rated),M2,2420,,970,1450,,,,,4,9680,129.21,312688.2,148.4,359128,14.1770294117647,34308.4111764706,9.66176470588235,23381.4705882353,301.448794117647,729506.081764706,
3.6,Wall,2.0 hour fire rated glass partion wall with door,M2,30,,,30,,,,,10,300,323.025,9690.75,3080,92400,41.9642647058824,1258.92794117647,12.8823529411765,386.470588235295,3457.87161764706,103736.148529412,
3.7,Wall,2.0 hour fire rated gypsum board system with rock wool core,M2,30,,,30,,,,,2.5,75,80.75625,2422.6875,440,13200,13.3895955882353,401.687867647059,1.61029411764706,48.3088235294118,535.756139705882,16072.6841911765,
3.8,Wall,200 thk. Concrete masonary unit(CMU block),M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
3.9,Wall,200 thk. insulated block wall,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
3.10,Wall,200 thk. insulated block wall/Fire wall,M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
3.11,Wall,350mm thk.cavity wall(200mm concrete block+50mm insulation layer+100mm concrete block),M2,1758,,1758,,,,,,5.5,9669,177.66375,312332.8725,222.6,391330.8,24.0465220588235,42273.7857794117,11.2720588235294,19816.2794117647,435.582330882353,765753.737691176,
NO.4,,Painting,,,,,,,,,,,,,,,,,,,,,,
4.1,Painting,"Ext Wall : 
1. 20mm thk. cement plaster (12 thk. average base coat in cm 1:5 and 8mm thk. finish coat in cm 1:3) 
2. High-build epoxy textured,weather-resistant coating system on plastered surfaces.",M2,2350,,2350,,,,,,2.5,5875,80.75625,189777.1875,35.72,83942,13.3895955882353,31465.549632353,1.61029411764706,3784.19117647059,131.476139705882,308968.928308824,
4.3,Painting,"Ext Wall : 
1. 20mm thk. cement plaster (12 thk. average base coat in cm 1:5 and 8mm thk. finish coat in cm 1:3) 
2. one coat of primer and two coat of acrylic emulsion exterior paint",M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
4.4,Painting,"Ext Wall:
High-build epoxy textured, weather-resistant coating system",M2,1275,300,,975,,,,,2,2550,64.605,82371.375,42.775,54538.125,11.7744705882353,15012.45,1.61029411764706,2053.125,120.764764705882,153975.075,
