1005312 - Ruwais Sulphur Handling Terminal-1 Upgrade for Hail & Ghasha ,,,,,,,,,
  Exhibit 'C' Index,,,,,,,,,
,,,,,,,,,
Sr. No.,Unit,Discipline,Drawing Category,Document Number,Revision,Subject,Issue Status,Remarks,
,,,,,,COMMON,,,
,,,,,,ARCHITECTURAL/CIVIL/STRUTURAL,,,
62,00,CIVIL,Drawing,5312-00-A1-2000,0,STEEL WORKS - GENERAL NOTES,IFT,WORLEY,1005312-WOR-AGP-TR-0171
63,00,CIVIL,Drawing,5312-00-A1-2051,0,STRUCTURE MAP FOR MATERIAL HANDLING STRUCTURES,IFT,WORLEY,1005312-WOR-AGP-TR-1634
64,00,CIVIL,Drawing,5312-00-A1-3000,0,CIVIL AND BUILDING WORKS - ABBREVIATIONS AND SYMBOLS,IFT,WORLEY,1005312-WOR-AGP-TR-0171
,,,,,,ELECTRICAL,,,
65,00,ELECTRICAL,Single Line Diagrams,5312-00-A0-6001,0,KEY SINGLE LINE DIAGRAM SUBSTATION 5,IFT,WORLEY,1005312-WOR-AGP-TR-1630
66,00,ELECTRICAL,Single Line Diagrams,5312-00-A0-6005,0,415V SWITCHGEAR SINGLE LINE DIAGRAM (30-PC-5001) SUBSTATION - 5,IFT,WORLEY,1005312-WOR-AGP-TR-1626
67,00,ELECTRICAL,Single Line Diagrams,5312-00-A0-6006,0,415V SWITCHGEAR SINGLE LINE DIAGRAM (30-PC-5002) SUBSTATION - 5,IFT,WORLEY,1005312-WOR-AGP-TR-1626
68,00,ELECTRICAL,Single Line Diagrams,5312-00-A0-6007,0,415V TYPICAL GRANULATOR MCC SINGLE LINE DIAGRAM SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1609
69,00,ELECTRICAL,Single Line Diagrams,5312-00-A0-6021,0,OVERALL KEY SINGLE LINE DIAGRAM,IFT,WORLEY,1005312-WOR-AGP-TR-1643
70,00,ELECTRICAL,Drawing,5312-00-A0-6054,0,IPCS ARCHITECTURE DRAWING,IFT,WORLEY,1005312-WOR-AGP-TR-1603
71,00,ELECTRICAL,Single Line Diagrams,5312-00-A1-6004,1,METERING AND PROTECTION SLD FOR 11KV SWITCHGEAR (30-MMS-5001) SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1626
72,00,ELECTRICAL,Single Line Diagrams,5312-00-A1-6008,0,SINGLE LINE DIAGRAM 240V AC UPS (8 HOURS BACKUP) SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1700
73,00,ELECTRICAL,Single Line Diagrams,5312-00-A1-6009,0,SINGLE LINE DIAGRAM 240V AC UPS (30 MINUTE BACKUP) SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1700
74,00,ELECTRICAL,Single Line Diagrams,5312-00-A1-6010,0,SINGLE LINE DIAGRAM - 110V DC UPS SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1401
75,00,ELECTRICAL,Drawing,5312-00-A1-6016,0,LIGHTING AND SMALL POWER LAYOUT - NEW OPERATION BUILDING,IFT,WORLEY,1005312-WOR-AGP-TR-1593
76,00,ELECTRICAL,Drawing,5312-00-A1-6017,0,EARTHING LAYOUT - SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1505
77,00,ELECTRICAL,Drawing,5312-00-A1-6018,0,LIGHTNING PROTECTION LAYOUT - SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1505
78,00,ELECTRICAL,Drawing,5312-00-A1-6019,0,LIGHTING LAYOUT - SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1630
79,00,ELECTRICAL,Drawing,5312-00-A1-6020,0,EQUIPMENT LAYOUT - SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1624
80,00,ELECTRICAL,Single Line Diagrams,5312-00-A1-6022,0,SINGLE LINE DIAGRAM 11KV SWITCHGEAR SUBSTATION-2,IFT,WORLEY,1005312-WOR-AGP-TR-1628
81,00,ELECTRICAL,Single Line Diagrams,5312-00-A1-6023,0,415V SWITCHGEAR SINGLE LINE DIAGRAM (30-PC-01) SUBSTATION-1,IFT,WORLEY,1005312-WOR-AGP-TR-1609
82,00,ELECTRICAL,Single Line Diagrams,5312-00-A1-6024,0,SINGLE LINE DIAGRAM 415V LV SWITCHGEAR 54000-PC-4001 SUBSTATION-2,IFT,WORLEY,1005312-WOR-AGP-TR-1678
83,00,ELECTRICAL,Single Line Diagrams,5312-00-A1-6025,0,415V SWITCHGEAR SINGLE LINE DIAGRAM (5330-MCC-301) SUBSTATION-3,IFT,WORLEY,1005312-WOR-AGP-TR-1743
84,00,ELECTRICAL,Single Line Diagrams,5312-00-A1-6026,0,415V SWITCHGEAR SINGLE LINE DIAGRAM (5230-PC-201) SUBSTATION-4,IFT,WORLEY,1005312-WOR-AGP-TR-1729
85,00,ELECTRICAL,Drawing,5312-00-A1-6035,1,ELECTRICAL EQUIPMENT LAYOUT - SUBSTATION-1,IFT,WORLEY,1005312-WOR-AGP-TR-1725
86,00,ELECTRICAL,Drawing,5312-00-A1-6036,1,ELECTRICAL EQUIPMENT LAYOUT - SUBSTATION-2,IFT,WORLEY,1005312-WOR-AGP-TR-1753
87,00,ELECTRICAL,Drawing,5312-00-A1-6037,1,ELECTRICAL EQUIPMENT LAYOUT - SUBSTATION-3,IFT,WORLEY,1005312-WOR-AGP-TR-1753
88,00,ELECTRICAL,Drawing,5312-00-A1-6038,1,ELECTRICAL EQUIPMENT LAYOUT - SUBSTATION-4,IFT,WORLEY,1005312-WOR-AGP-TR-1753
89,00,ELECTRICAL,Drawing,5312-00-A1-6059,1,ELECTRICAL EQUIPMENT LAYOUT SUBSTATION-1 (DEMOLITION),IFT,WORLEY,1005312-WOR-AGP-TR-1710
90,00,ELECTRICAL,Drawing,5312-00-A1-6060,1,ELECTRICAL EQUIPMENT LAYOUT SUBSTATION-2 (DEMOLITION),IFT,WORLEY,1005312-WOR-AGP-TR-1753
91,00,ELECTRICAL,Drawing,5312-00-A1-6061,1,ELECTRICAL EQUIPMENT LAYOUT SUBSTATION-3 (DEMOLITION),IFT,WORLEY,1005312-WOR-AGP-TR-1756
92,00,ELECTRICAL,Drawing,5312-00-A1-6062,1,ELECTRICAL EQUIPMENT LAYOUT SUBSTATION-4 (DEMOLITION),IFT,WORLEY,1005312-WOR-AGP-TR-1710
