1005312 - Ruwais Sulphur Handling Terminal-1 Upgrade for Hail & Ghasha ,,,,,,,,,
EXHIBIT C  - INDEX,,,,,,,,,
Sr. No.,Unit,Discipline,Document Category,Document Number,Revision,Subject,Issue Status,Remarks,
54,00,ELECTRICAL,Data Sheet,DS-5312-E-001,0,"DATASHEET FOR POWER, CONTROL AND EARTHING CABLE",IFT,,
55,00,ELECTRICAL,Data Sheet,DS-5312-E-002,0,DATASHEET FOR LV CAGE INDUCTION MOTORS,IFT,,
56,00,ELECTRICAL,Data Sheet,DS-5312-E-003,0,DATASHEET FOR 11KV HV AIR INSULATED SWITCHGEAR,IFT,,
57,00,ELECTRICAL,Data Sheet,DS-5312-E-004,1,DATASHEET FOR LV SWITCHGEAR,IFT,,
58,00,ELECTRICAL,Data Sheet,DS-5312-E-005,0,DATASHEET FOR DISTRIBUTION TRANSFORMER,IFT,,
59,00,ELECTRICAL,Data Sheet,DS-5312-E-006,0,DATASHEET FOR DISTRIBUTION BOARD (ALEM SCOPE),IFT,,
60,00,ELECTRICAL,Data Sheet,DS-5312-E-007,0,DATASHEET OF DC UPS FOR SUBSTATION 5,IFT,,
61,00,ELECTRICAL,Data Sheet,DS-5312-E-008,0,DATASHEET FOR AC UPS (SUBSTATION-5) 30-UPS-AC-5001A/B  & 30-UPS-AC-5003A/B,IFT,,
62,00,ELECTRICAL,Data Sheet,DS-5312-E-009,0,"DATASHEET FOR AC UPS (ALEM SCOPE) & (OPERATIONS BUILDING) 5330-UPS-1001, 5330-UPS-1004 & 40-UPS-AC-6003",IFT,,
63,00,ELECTRICAL,Data Sheet,DS-5312-E-010,0,DATASHEET FOR INTEGRATED PROTECTION AND CONTROL SYSTEM (IPCS),IFT,,
64,00,ELECTRICAL,Data Sheet,DS-5312-E-011,0,DATASHEET FOR EMERGENCY DIESEL GENERATOR FOR SUBSTATION-5 AND SUBSTATION-3,IFT,,
65,00,ELECTRICAL,Data Sheet,DS-5312-E-012,0,DATASHEET FOR LV BUS DUCT,IFT,,
66,00,ELECTRICAL,Data Sheet,DS-5312-E-013,1,DATASHEET FOR DISTRIBUTION BOARD,IFT,,
67,00,ELECTRICAL,Report,RP-5312-00-EL-001,0,SITE VISIT REPORT - ELECTRICAL,IFT,,
68,00,ELECTRICAL,Report,RP-5312-00-EL-002,0,POWER SYSTEM ADEQUACY REPORT,IFT,,
69,00,ELECTRICAL,Report,RP-5312-00-EL-003,1,AC & DC UPS SIZING CALCULATION REPORT (ALEM SCOPE),IFT,,
70,00,ELECTRICAL,Report,RP-5312-00-EL-005,0,POWER SYSTEM STUDY REPORT,IFT,,
71,00,ELECTRICAL,Cable Schedule,RP-5312-00-EL-006,0,ELECTRICAL CABLE SCHEDULE SUBSTATION-5,IFT,,
72,00,ELECTRICAL,Cable Schedule,RP-5312-00-EL-007,0,ELECTRICAL CABLE SCHEDULE SUBSTATION-1,IFT,,
73,00,ELECTRICAL,Cable Schedule,RP-5312-00-EL-008,0,ELECTRICAL CABLE SCHEDULE SUBSTATION-2,IFT,,
74,00,ELECTRICAL,Cable Schedule,RP-5312-00-EL-009,0,ELECTRICAL CABLE SCHEDULE SUBSTATION-3,IFT,,
75,00,ELECTRICAL,Cable Schedule,RP-5312-00-EL-010,0,ELECTRICAL CABLE SCHEDULE SUBSTATION-4,IFT,,
76,00,ELECTRICAL,Cable Schedule,RP-5312-00-EL-011,0,ELECTRICAL CABLE SCHEDULE FOR OPERATIONS BUILDING,IFT,,
77,00,ELECTRICAL,Lists & Schedules,RP-5312-00-EL-012,0,IPCS I/O LIST,IFT,,
78,00,ELECTRICAL,Lists & Schedules,RP-5312-00-EL-013,0,ELECTRICAL TIE-IN SCHEDULE,IFT,,
79,00,ELECTRICAL,Scope of Works,RP-5312-00-EL-014,0,SCOPE OF WORK FOR SWITCHGEAR MODIFICATION AND RELAY REPLACEMENT ,IFT,,
80,00,ELECTRICAL,Scope of Works,RP-5312-00-EL-021,0,SCOPE OF WORK FOR INTEGRARED PROTECTION AND CONTROL SYSTEM (IPCS),IFT,,
81,00,ELECTRICAL,Material Take off,RP-5312-00-EL-022,0,ELECTRICAL BULK MTO ,IFT,,
82,00,ELECTRICAL,Philosophy Documents,RP-5312-00-EL-023,0,SHUTDOWN AND CHANGEOVER PHILOSOPHY,IFT,,
83,00,ELECTRICAL,Report,RP-5312-00-EL-024,1,ELECTRICAL DEMOLITION REPORT ,IFT,,
84,00,ELECTRICAL,Lists & Schedules,RP-5312-00-EL-025,0,ELECTRICAL EQUIPMENT LIST,IFT,,
85,00,ELECTRICAL,Specification,SP-5312-00-EL-001,0,SPECIFICATION FOR ELECTRICAL BULK MATERIALS,IFT,,
,,,,,,GEOTECHNICAL,,,
86,00,GEOTECHNICAL,Report,RP-5312-00-CI-007,0,ONSHORE GEOTECHNICAL INTERPRETATIVE REPORT,IFT,,
87,00,GEOTECHNICAL,Report,RP-5312-00-CI-008,1,OFFSHORE GEOTECHNICAL INTERPRETATIVE REPORT,IFT,,
