1005312 - Ruwais Sulphur Handling Terminal-1 Upgrade for Hail & Ghasha ,,,,,,,,,
EXHIBIT C  - INDEX,,,,,,,,,
Sr. No.,Unit,Discipline,Document Category,Document Number,Revision,Subject,Issue Status,Remarks,
390,30,MECHANICAL,Method Statement,RP-5312-30-ME-006,0,TECHNICAL METHOD STATEMENT FOR GRANULATOR CONDITION INSPECTIONS AND RECOMMENDATIONS,IFT,,
391,30,MECHANICAL,Specification,SP-5312-30-ME-001,0,PROJECT SPECIFICATION FOR GRANULATOR UNITS,IFT,,
392,30,MECHANICAL,Specification,SP-5312-30-ME-003,0,SPECIFICATION FOR NEW SULPHUR REMELTER PACKAGE,IFT,,
393,30,MECHANICAL,Technical Bid Evaluation,TE-5312-30-ME-001,1,TECHNICAL BID EVALUATION FOR NEW GRANULATOR (GXM1) UNITS,IFT,,
394,30,MECHANICAL,Technical Bid Evaluation,TE-5312-30-ME-002,0,TECHNICAL BID EVALUATION FOR NEW SULPHUR REMELTER PACKAGE (30-ME-0014),IFT,,
,,,,,,PIPING,,,
395,30,PIPING,Report,RP-5312-30-PI-001,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-003 JACKETED LIQUID SULPHUR PUMP SUCTION PIPING SYSTEM,IFT,,
396,30,PIPING,Report,RP-5312-30-PI-002,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-006 LIQUID SULPHUR JACKET LINES FROM FEED PUMPS TO GRANULATORS,IFT,,
397,30,PIPING,Report,RP-5312-30-PI-003,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-005 LIQUID SULPHUR LINE FROM FILTERS TO DAY VESSEL PIPING SYSTEM,IFT,,
398,30,PIPING,Report,RP-5312-30-PI-004,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-007 LIQUID SULPHUR JACKETED LINES FROM FEED PUMPS TO GRANULATORS,IFT,,
399,30,PIPING,Report,RP-5312-30-PI-005,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-004 12”X10” - JACKETED LIQUID SULPHUR PUMP DISCHARGE LINES PIPING SYSTEM,IFT,,
400,30,PIPING,Report,RP-5312-30-PI-006,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-010 3”X 2” MOLTEN SULPHUR JACKET LINE FROM LIQUID SULPHUR FILTER 30-F-001 TO SULPHUR DRAIN PIT,IFT,,
401,30,PIPING,Report,RP-5312-30-PI-007,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-016 JACKETED LIQUID SULPHUR FILTER INLET LINES PIPING SYSTEM,IFT,,
402,30,PIPING,Report,RP-5312-30-PI-008,0,"PIPE STRESS ANALYSIS REPORT: PE-CAL-009 DAY VESSEL JACKETED VENT, AIR INLET/OUTLET AND OVERFLOW LINES PIPING SYSTEM",IFT,,
,,,,,,UNIT-40,,,
,,,,,,CIVIL/STRUCTURAL,,,
403,40,CIVIL,Calculation,CA-5312-40-CI-001,1,DESIGN CALCULATION OF PIPEBRIDGE STRUCTURE IN RECEIVER AREA  ,IFT,,
404,40,CIVIL,Calculation,CA-5312-40-CI-002,1,DESIGN CALCULATION OF PIPERACK STRUCTURE IN RECEIVER AREA 40-PR-07,IFT,,
405,40,CIVIL,Calculation,CA-5312-40-CI-003,1,DESIGN CALCULATION FOR TANK FARM AREA PIPERACK 40-PR-01,IFT,,
406,40,CIVIL,Calculation,CA-5312-40-CI-004,1,DESIGN CALCULATION FOR INTERCONNECTING PIPERACK 40-PR-14,IFT,,
407,40,CIVIL,Calculation,CA-5312-40-CI-005,1,CALCULATION FOR SULPHUR TANK FOUNDATION,IFT,,
408,40,CIVIL,Report,CA-5312-40-CI-006,0,FEASIBILITY STUDY OF CONVEYOR STRUCTURE CV-1005 FOR SUPPORTING NEW SULPHUR LINES,IFT,,
409,40,CIVIL,Calculation,CA-5312-40-CI-007,0,DESIGN CALCULATION FOR ADEQUACY OF PIPERACK NEAR LIQUID SULPHUR TANK 54140-TK-4002 AND PIPERACK STRUCTURE 40-STR-01,IFT,,
410,40,CIVIL,Calculation,CA-5312-40-CI-017,0,DESIGN CALCULATION FOR INTERCONNECTING PIPEBRIDGE 40-PR-16  ,IFT,,
,,,,,,MECHANICAL,,,
411,40,MECHANICAL,Data Sheet,DS-5312-40-P-0001,0,MECHANICAL DATASHEET FOR LIQUID SULPHUR TRANSFER PUMP (40-P-0001A/B/C/S),IFT,,
412,40,MECHANICAL,Data Sheet,DS-5312-40-P-0010,0,MECHANICAL DATASHEET FOR PROCESS WATER PUMPS (40-P-0010 A/S),IFT,,
413,40,MECHANICAL,Data Sheet,DS-5312-40-P-1001,0,MECHANICAL DATASHEET FOR CONDENSATE RECOVERY PUMPS (40-P-0011 A/S),IFT,,
414,40,MECHANICAL,Data Sheet,DS-5312-40-TK-0001,1,MECHANICAL DATASHEET FOR LIQUID SULPHUR STORAGE TANK (40-TK-0001/0002/0003),IFT,,
415,40,MECHANICAL,Material Requisition,MR-5312-40-ME-003,0,MR FOR LIQUID SULPHUR TRANSFER PUMPS (40-P-0001 A/B/C/S),IFT,,
416,40,MECHANICAL,Scope of Works,RP-5312-40-ME-003,0,SCOPE OF WORK FOR SULPHUR STORAGE TANKS,IFT,,
417,40,MECHANICAL,Method Statement,RP-5312-40-ME-004,0,METHOD STATEMENT FOR TANK DEMOLITION,IFT,,
418,40,MECHANICAL,Specification,SP-5312-40-ME-001,0,ADDENDUM TO AGES-SP-05-001 CENTRIFUGAL PUMPS (API 610) SPECIFICATION ,IFT,,
419,40,MECHANICAL,Specification,SP-5312-40-ME-003,0,SPECIFICATION FOR LIQUID SULPHUR FEED AND TRANSFER PUMPS,IFT,,
420,40,MECHANICAL,Technical Bid Evaluation,TE-5312-40-ME-001,0,TECHNICAL BID EVALUATION FOR LIQUID SULPHUR TRANSFER PUMPS (40-P-0001 A/B/C/S) ,IFT,,
,,,,,,PIPING,,,
421,40,PIPING,Report,RP-5312-40-PI-001,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-011 8”-MS LINE FROM BATTERY LIMIT TO REMELTER PIPING SYSTEM,IFT,,
422,40,PIPING,Report,RP-5312-40-PI-002,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-008 SULPHUR TANKS OVERFLOW AND OVERHEAD VENT LINES PIPING SYSTEM,IFT,,
423,40,PIPING,Report,RP-5312-40-PI-003,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-013 16”X12”-JACKETED LIQUID SULPHUR LINE FROM PIG RECEIVER TO NEW TANKS LINES PIPING SYSTEM,IFT,,
424,40,PIPING,Report,RP-5312-40-PI-004,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-002 8”x6”-JACKETED LIQUID SULPHUR TANK 40-TK-0001/0002/0003 INLET LINES PIPING SYSTEM,IFT,,
425,40,PIPING,Report,RP-5312-40-PI-005,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-001 JACKETED LIQUID SULPHUR LINE FROM PIG RECEIVER STORAGE TANKS PIPING SYSTEM,IFT,,
426,40,PIPING,Report,RP-5312-40-PI-006,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-017 LP CONDENSATE FROM HEADER TO CONDENSATE RECOVERY VESSEL 54140-V-4007,IFT,,
427,40,PIPING,Report,RP-5312-40-PI-007,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-015 LP STEAM FROM HEADER TO LIQUID SULPHUR STORAGE TANK LINES PIPING SYSTEM,IFT,,
428,40,PIPING,Report,RP-5312-40-PI-008,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-014 GRE PIPING CONNECTED TO PUMP 40-P-0010A/S,IFT,,
429,40,PIPING,Report,RP-5312-40-PI-009,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-018 16”x12” - JACKETED LINE FROM TIE-IN POINT 220 TO 262,IFT,,
430,40,PIPING,Report,RP-5312-40-PI-010,0,PIPE STRESS ANALYSIS REPORT: PE-CAL-012 CONDENSATE PUMP SUCTION & DISCHARGE PIPING SYSTEM  ,IFT,,
