AREA,UNIT,DISC,DOCUMENT NUMBER,REV,TITLE,STATUS,ORIGINATOR,TYPE
COMMON,001,EL,0401413-GG-001-16-32-001,0,POWER INSTALLATION STANDARD,IFD,WORLEY,DRAWING
COMMON,001,EL,0401413-GG-001-16-33-001,0,SINGLE LINE DIAGRAM FOR DISTRIBUTION BOARDS - TYPICAL,IFD,WORLEY,DRAWING
COMMON,001,EL,0401413-GG-001-16-42-001,0,LIGHTING INSTALLATION STANDARD,IFD,WORLEY,DRAWING
COMMON,001,EL,DOD-0401413-GG-001-16-35-003,B,"LIGHTING CALCULATIONS - OUTDOOR [STREET/ROAD LIGHTING, AREA LIGHTING, PLANT LIGHTING & FLOOD LIGHTING]",IFA,WORLEY,DOCUMENT
COMMON,001,EL,DOD-0401413-GG-001-16-38-001,0,"DATASHEET FOR POWER, CONTROL AND EARTHING CABLES",IFD,WORLEY,DOCUMENT
COMMON,001,EL,DOD-0401413-GG-001-16-38-002,0,DATASHEET FOR INTEGRATED PROTECTION & CONTROL SYSTEMS (IPCS),IFD,WORLEY,DOCUMENT
COMMON,001,EL,DOD-0401413-GG-001-16-38-006,0,DATASHEET FOR MV CAGE INDUCTION MOTORS,IFD,WORLEY,DOCUMENT
COMMON,001,EL,DOD-0401413-GG-001-16-38-007,0,DATASHEET FOR MV SYNCHRONOUS MOTOR (HABSHAN-5),IFD,WORLEY,DOCUMENT
COMMON,001,EL,DOD-0401413-GG-001-16-38-008,0,DATASHEET FOR LV CAGE INDUCTION MOTORS,IFD,WORLEY,DOCUMENT
COMMON,001,EL,R-0401413-GG-001-16-39-001,0,MATERIAL REQUISITION FOR POWER TRANSFORMER,IFT,WORLEY,DOCUMENT
COMMON,001,EL,RPT -0401413-GG-001-16-00-001,0,SITE VISIT REPORT - ELECTRICAL,IFT,WORLEY,DOCUMENT
COMMON,001,EL,RPT-0401413-GG-001-16-00-002,0,"POWER DISTRIBUTION, PROTECTION AND CONTROL PHILOSOPHY",IFD,WORLEY,DOCUMENT
COMMON,001,EL,RPT-0401413-GG-001-16-00-004,0,ELECTRICAL DRIVE SELECTION STUDY REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,EL,RPT-0401413-GG-001-16-00-005,0,LOAD MANAGEMENT AND LOAD SHEDDING PHILOSOPHY,IFD,WORLEY,DOCUMENT
COMMON,001,EL,RPT-0401413-GG-001-16-39-005,0,SAFOP WORKSHOP TECHNICAL BID EVALUATION REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,EL,SOW-0401413-GG-001-16-11-001,B,SCOPE OF WORK FOR SAFOP STUDY,IFA,WORLEY,DOCUMENT
COMMON,001,EL,SOW-0401413-GG-001-16-11-001,0,SCOPE OF WORK FOR SAFOP STUDY,IFD,WORLEY,DOCUMENT
COMMON,001,EL,SOW-0401413-GG-001-16-11-002,0,MODIFICATION SCOPE OF WORK FOR 33KV GIS,IFD,WORLEY,DOCUMENT
COMMON,001,EL,SOW-0401413-GG-001-16-11-003,A,MODIFICATION SCOPE OF WORK FOR 3.3KV MV SWITCHGEAR,ICR,WORLEY,DOCUMENT
COMMON,001,EL,SOW-0401413-GG-001-16-11-004,A,MODIFICATION SCOPE OF WORK FOR 415V LV SWITCHGEAR,ICR,WORLEY,DOCUMENT
COMMON,001,EL,SOW-0401413-GG-001-16-11-005,B,SCOPE OF WORK FOR ECS & IPCS AT HABSHAN 5 INCLUDING MODIFICATION OF EXISITNG SYSTEM,IFA,WORLEY,DOCUMENT
COMMON,001,EL,SP-0401413-GG-001-16-00-001,0,ELECTRICAL DESIGN BASIS,IFD,WORLEY,DOCUMENT
COMMON,001,EL,SP-0401413-GG-001-16-37-1,0,DESIGN GENERAL SPECIFICATION FOR BULK MATERIALS,IFD,WORLEY,DOCUMENT
COMMON,001,EL,SP-0401413-GG-001-16-37-2,0,DESIGN GENERAL SPECIFICATION FOR MV BUSBAR TRUNKING,IFD,WORLEY,DOCUMENT
COMMON,001,HV,0401413-ADD-3400-004,0,ADDENDUM TO DGS-3400-004 DESIGN GENERAL SPECIFICATION - HVAC CONTROL,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1510-001,0,DCS OPERATING AND CONTROL PHILOSOPHY - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1510-004,0,EMERGENCY SHUTDOWN SYSTEM PHILOSOPHY - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-023,0,DCS GUIDELINES FOR CONTROL LOOP REDUNDANCY - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-025,0,DESIGN RULES FOR DCS GRAPHICS - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-028,0,FIRE & GAS GRAPHIC DESIGN RULES - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-029,1,ALARM PHILOSOPHY - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-030,0,FIRE & GAS SYSTEM - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-031,0,FIRE & GAS DETECTORS - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-032,0,INSTRUMENT DESIGN CRITERIA - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-033,0,INSTRUMENTATION FURNISHED WITH PACKAGED UNITS - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-034,0,INSTRUMENT PIPING CLASSES - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-036,0,INSTRUMENT AND THERMOCOUPLE CABLES - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-041,0,FLOW ELEMENTS AND METER RUNS - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-042,0,FLOW INSTRUMENTS - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-043,0,INSTRUMENT INSTALLATION DESIGN - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-046,0,INSPECTION AND TESTING OF INSTRUMENTS & CONTROL SYSTEMS - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-050,0,PROGRAMMABLE LOGIC CONTROLLERS (PLC) - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-052,0,MARSHALLING CABINETS - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-062,0,MACHINE MONITORING SYSTEM - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-070,0,ANTISURGE AND PERFORMANCE CONTROL - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1511-077,0,ULTRASONIC SCRAPER (PIG) SIGNALLERS - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1541-001,0,CONTROL VALVES - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1543-001,0,MOTOR OPERATED VALVES - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1543-002,1,ESD AND ON/OFF VALVES - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1545-001,0,PRESSURE RELIEF DEVICES - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1550-001,0,FUNCTIONAL LOOP DIAGRAMS - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1560-001,0,PACKAGED ANALYZERS - ADDENDUM TO DGS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,0401413-ADD-1560-002,A,ANALYZER SHELTERS - ADDENDUM TO DGS,ICR,WORLEY,DOCUMENT
COMMON,001,IC,0401413-GG-001-15-88-001,0,TYPICAL INSTRUMENT INSTALLATION DRAWINGS,IFD,WORLEY,DRAWING
COMMON,001,IC,0401413-GG-001-15-88-002,0,TYPICAL INSTRUMENT HOOKUPS DRAWINGS,IFD,WORLEY,DRAWING
COMMON,001,IC,0401413-GG-001-15-88-003,A,TYPICAL INSTRUMENT LOOP DIAGRAMS,ICR,WORLEY,DRAWING
COMMON,001,IC,DOD-0401413-GG-001-15-00-001,0,INSTRUMENT AND CONTROLS DESIGN BASIS,IFD,WORLEY,DOCUMENT
COMMON,001,IC,DOD-0401413-GG-001-15-00-009,0,INSTRUMENT STANDARDIZATION PHILOSOPHY FOR H4 AND H5,IFD,WORLEY,DOCUMENT
COMMON,001,IC,DOD-0401413-GG-001-15-89-001,0,DEFINITION REPORT: INSTRUMENT & CONTROL FOR H4 AND H5,IFD,WORLEY,DOCUMENT
COMMON,001,IC,R-0401413-GG-001-15-55-003,0,MATERIAL REQUISITION FOR CUSTODY TRANSFER FLOW METERING SKID FOR HABSHAN-4 & HABSHAN-5,IFD,WORLEY,DOCUMENT
COMMON,001,IC,SP-0401413-GG-001-15-40-001,0,SPECIFICATION FOR CO2 CUSTODY METERING SYSTEM,IFD,WORLEY,DOCUMENT
COMMON,001,MC,0401413-ADD-0000-002,0,ADDENDUM FOR DGS-0000-002 MATERIALS FOR USE IN H2S CONTAINING ENVIRONMENTS,IFD,WORLEY,DOCUMENT
COMMON,001,MC,PHL-0401413-GG-001-63-00-001,0,CORROSION MONITORING PHILOSOPHY,IFD,WORLEY,DOCUMENT
COMMON,001,MC,RPT-0401413-GG-001-63-00-001,0,MATERIAL OF CONSTRUCTION ADEQUACY ASSESSMENT REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,MC,SOW-0401413-GG-001-63-11-001,0,SCOPE OF WORK FOR CORROSION RISK ASSESSMENT STUDY AND MATERIAL & CORROSION AUDIT,IFT,WORLEY,DOCUMENT
COMMON,001,MC,SOW-0401413-GG-001-63-11-002,0,SOW FOR CATHODIC PROTECTION DESIGN,IFI,WORLEY,DOCUMENT
COMMON,001,ME,0401413-ADD-0570-001,0,ADDENDUM TO DGS 0570-001 DESIGN GENERAL SPECIFICATION: VESSEL TRAYS AND INTERNALS - GENERAL,IFD,WORLEY,DOCUMENT
COMMON,001,ME,0401413-ADD-0610-001,0,ADDENDUM TO DGS 0610-001 DESIGN GENERAL SPECIFICATION: SHELL AND TUBE HEAT EXCHANGERS - GENERAL,IFD,WORLEY,DOCUMENT
COMMON,001,ME,0401413-ADD-0710-001,0,ADDENDUM TO DGS 0710-001 DESIGN GENERAL SPECIFICATION: AIR COOLED HEAT EXCHAGER - (AMENDMENTS AND SUPPLEMENTS TO API STD 661),IFD,WORLEY,DOCUMENT
COMMON,001,ME,0401413-ADD-0810-001,0,ADDENDUM TO DGS 0810-001 DESIGN GENERAL SPECIFICATION: PRESSURE VESSELS,IFD,WORLEY,DOCUMENT
COMMON,001,ME,0401413-ADD-0910-001,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - CENTRIFUGAL PUMPS (AMENDMENTS / SUPPLEMENTS TO API 610),IFD,WORLEY,DOCUMENT
COMMON,001,ME,0401413-ADD-1010-001,0,ADDENDUM TO DESIGN GENERAL SOECIFICATION - CENTRIFUGAL COMPRESSORS,IFD,WORLEY,DOCUMENT
