SL. No,"Item No
(As per Bidder)",Discipline,EPC Package Identification,Enquiry Package Reference,Reference Document / Drawing,"Classification (Legal, Technical &/or Commercial)",Exception / Query,Company's Response ,TENDER BULLETIN NO.
29,8,Instrumentation,,,New RSGP at RSHT2 Scope of Work,,Please provide a the Instrument & Control Cable Routing Layout for the New Facility.,Part of Bidder scope under his technical offer,TB-R003
30,9,Electrical,,,New RSGP at RSHT2 Scope of Work,,Please provide an Electrical Tie-in List for the New Facility.,Part of Bidder scope under his technical offer,TB-R003
31,10,Electrical,,,New RSGP at RSHT2 Scope of Work,,Please provide a the Electrical Cable Routing Layout for the New Facility.,Part of Bidder scope under his technical offer,TB-R003
32,11,Electrical,,,New RSGP at RSHT2 Scope of Work,,"Bidder assumes that Indoor Lighting at new buildings shall be controlled by Lighting Control System (Infra-red Occupancy Detector).

COMPANY to confirm.",Bidder to Follow AGES requirements and Original RFT specifications,TB-R003
33,12,Electrical,,,New RSGP at RSHT2 Scope of Work,,"Please provide the following details of existing system at BOROUGE 3 Facility:
1) OEM of existing IPCS System
2) Building Location of existing IPCS System
3) All relevant drawings such as GA Drawing, System Architecture, SLD's, etc.","Details are not available
refer to TB-R01
Bidder to assume a length of 4,000 m for each of the utilities connected to Borouge for the purpose of quoting",TB-R003
34,13,Electrical,,,New RSGP at RSHT2 Scope of Work,,"Please provide the following details of existing switchgears at BOROUGE 3 Facility:
1) OEM of existing 11kV Switchgear
2) OEM of existing 3.3kV Switchgear
3) OEM of existing 415V Switchgear
4) Building Location of existing Switchgears
5) All relevant drawings such as GA Drawing, Schematic Diagram, SLD's, etc.","Details are not available
refer to TB-R01
Bidder to assume a length of 4,000 m for each of the utilities connected to Borouge for the purpose of quoting",TB-R003
35,14,Telecommunication,,,"New RSGP at RSHT2 Scope of Work
Tender Bulletin Number TB-R001",,"According to the TB-R001, Quote ""The I&C systems shall be designed as standalone system. The new panels, racks, consoles, etc. to be installed in the existing control building"" Unquote.

Bidder assumes that the Telecom Systems will be designed as standalone systems. Hence, any Modifications or Integration work with the existing systems (Telephone, CCTV, PAGA, ACS, Radio, etc.) are not required for this project.

COMPANY to confirm.",Noted and Confirmed,TB-R003
36,15,Telecommunication,,,New RSGP at RSHT2 Scope of Work,,Please provide a Telecom Tie-in List for the New Facility.,"Not Available
Should be part of Bidder scope",TB-R003
37,16,Telecommunication,,,New RSGP at RSHT2 Scope of Work,,Please provide a the Telecom Cable Routing Layout for the New Facility.,"Not Available
Should be part of Bidder scope",TB-R003
38,17,Telecommunication,,,New RSGP at RSHT2 Scope of Work,,"Bidder assumes that all underground Fiber optic cable shall be laid directly in the sand/cable trench without using uPVC ducts/conduits for the entire length of the FO cable except in manholes and road crossings.

COMPANY to confirm.",Bidder to Follow AGES requirements and Original RFT specifications,TB-R003
