SL. No,"Item No
(As per Bidder)",Discipline,EPC Package Identification,Enquiry Package Reference,Reference Document / Drawing,"Classification (Legal, Technical &/or Commercial)",Exception / Query,Company's Response ,TENDER BULLETIN NO.
123,6,,,,"TB-09:  Documents on waste water collection and Neutralization: ""DW-5264-6047-A1-PU-0001 - UFD - Waste Water Treatment - Treatment Facilities""
UTILITIES",Technical,"In the documents received with TB-09 the storm water is collected in the retention pond and then sent to waste  water  treatement for neutralization. This phylosophy seems  not aligned with  feed philosophy (ref to UFD: 5312-40-A1-0105_0), indeed in the feed documents the storm water is sent to evaporation pond.  Moreover the design basis of retention pond and evaporation pond in RSHT-2 is not indicated. Company kindly to confirm that feed philosophy is to be followed.","Bidder to note that for waste water system design, Bidder is requested to consider the waste water treatment system similar to available in RSHT-1 RFT package UFD (5312-40-A1-0105) and routed the treated water from treatment system to the evaporation pond. ",TB-R016
124,7,,,,"General 
'UTILITIES/PIPING",Technical,"Bidder acknowledges that the tie-in points will be located at the new RSHT fence as specified in the documentation that will be provided with the Technical Offer. The routing of the piping/pipeline for supplying utilities and process streams is not included in the current scope of work. However, any additional studies and verifications will be treated as change orders during EPC, and the potential impact on the schedule will be assessed. Company kindly to confirm","Refer to reply provided in point.no.1 above for the same. Note that as part of this design, Bidders to consider extension, routing & necessary infrastructure for identified utilities from Borouge & RSHT-2 plant area to new SGP in RSHT-2",TB-R016
125,1,Instrumentation,,,Tender Bulletin Number TB-R001,,"According to the TB-R001, Quote ""The I&C systems shall be designed as standalone system. The new panels,
racks, consoles, etc. to be installed in the existing control building"" Unquote. 
According to COMPANY previous Response, quote"" To reduce the length of interconnecting cables, cable trays and supporting systems, it is proposed to add new E&I room in the new substation (substation 5 of original RFT) at new plant area"".

Bidder assume that an independent LOCAL CONTROL ROOM  is required for this project. Instrument  cabinets(DCS&ESD&FGS) lay out in the LOCAL CONTROL ROOM and operate station and console also lay out in the LOCAL CONTROL ROOM.

COMPANY to confirm.","Bidders to note that the I&C system shall not be designed as stand alone due to the following reasons:

In order to utilize the existing linear storage buildings, transport (conveyers, transfer towers etc..) and export (ship loaders) infrastructure and facilities of RSHT-2, it is preferred that the I&C system is designed the as an extension to the existing ICSS system (Honeywell) of RSHT-2. The upgrade (extension) of the existing system shall be carried out only by the OEM (Honeywell).

Bidders to note that the upgrade of the system shall in no way affect the operability or availability of the existing material transport  or export facillities including conveyors, transport towers, ship loaders etc.. .
The integration of new sulphur granulation facility control system with the existing RSHT-2 control system shall not introduce any restrictions or limitations in terms of operation or maintenance of the existing system and shall have the required segregation to achieve that goal. 

In this way, the only major interfaces will be limited to the ones listed below:
1. Hail & Ghasha ( 2 x 96 cores FO cable)
2. Bouroge (for utilities like power, water, nitrogen, steam etc.)

Bidder's assumption about the local control room is not correct. Bidder to place the consoles (with operator and engineering workstations) and cabinets (server, network and FO cabinets) in the existing MCR in RSHT-2. Adequacy of the existing MCR to be checked. However, a new local control room to be considered as an optional scope.

The new facilty's control system (located in the new substation and the existing MCR) shall be integrated seamlessly with the existing RSHT-2 control system and provide for operation and control of the new facility. ",TB-R016
126,2,Instrumentation,,,Tender Bulletin Number TB-R001,,COMPANY to confirm whether an explosion resistant structure is required for LOCAL CONTROL ROOM .,"Bidder to refer Cl.9.1 of AGES-SP-01-013 for essential buildings which are mandatory to design for blast resistance & other buildings when the blast load is not less the minimum specified. The Blast design consideration shall comply AGES-SP-01-003.
At EPC Stage specific FERA / QRA / BRA shall be conducted which shall dictate specific building blast resistance recommendation if required 
",TB-R016
127,3,Instrumentation,,,Tender Bulletin Number TB-R001,,"Bidder assume that optical fiber&cable tray between LOCAL CONTROL ROOM and EXISTING CONTROL ROOM  is out of this project.

COMPANY to confirm.",Bidder's understanding is not correct. All the optical fiber cables and laying of these cables (in trenches or cable trays) between local control room and existing MCR is in Bidder's scope.,TB-R016
128,4,Instrumentation,,,5312-ADD-1511-031_0 ,,COMPANY to confirm the protect radius of Flammable Gas Detector( Point IR Type).,This shall be as per the F&G mapping study in the EPC phase and follow COMPANY specifications (AGES) for the Point Gas detectors,TB-R016
129,5,Instrumentation,,,5312-ADD-1511-032,,COMPANY to provide 5312-ADD-1511-032 INSTRUMENT DESIGN GENERAL SEPCIFICATION,This DGS is now superseded by AGES. Please refer to applicable AGES for instrumentation and automation design.,TB-R016
130,6,Instrumentation,,,AGES-SP-04-006,,"COMPANY to provide AGES-SP-04-006  INSTRUMENT & CONTROL CABLE SPECIFICATION   
Any other COMPANY Standards about instrumentation should also be provided.",Provided.,TB-R016
131,7,Instrumentation,,,"DW-5264-6048-ICS-0000-026_Rev_1F
DW-5264-6048-ICS-0000-987_Rev_2F",,"According to DCS,ESD_FIBER_NETWORK_DRAWING and FGS_NETWORK_DRAWING, bidder assume the OEM of existing sysytem(DCS&ESD&FGS) is Honeywell.

COMPANY to confirm.",Bidder's understanding is correct. OEM of the existing control system is Honeywell. Please see the attached system architecture (DW-5264-6048-ICS-0000-701_3F),TB-R016
132,8,Electrical,,,Tender Bulletin Number TB-R001,,COMPANY to confirm whether an explosion resistant structure is required for New Substation .,"Bidder to refer Cl.9.1 of AGES-SP-01-013 for essential buildings which are mandatory to design for blast resistance & other buildings when the blast load is not less the  minimum specified. The Blast design consideration shall comply AGES-SP-01-003.
At EPC Stage specific FERA / QRA / BRA shall be conducted which shall dictate specific building blast resistance recommendation if required ",TB-R016
133,9,HSE,,,"ANNEXURE 12
HSE REQUIREMENTS 
ADR002 - Updated HSE Requirements",,"The superseded documents mentioned as follow is not found in the ITB:
• EXHIBIT-B.28
• EXHIBIT-B.29
• EXHIBIT-B.30
• EXHIBIT-B.31
• EXHIBIT-B.32
• EXHIBIT-B.33
Please check and provide it.",Please refer to updated HSE requirments Annexure 12,TB-R016
134,10,HSE,,,"ANNEXURE 12
HSE REQUIREMENTS 
ADR003 - Asset Integrity",,"As described in ITB: Contractor shall note that HSECES management standard HSE-OS-ST29 has been superseded with GP&E-GAIPS/STD-07 (ADNOC Group HSECES Management standard). 
But the mentioned document GP&E-GAIPS/STD-07 is not found in ITB. Please check and provide it.",Check TC-03 folder GP&E-GAIPS/STD-07 standard added,TB-R016
135,11,Contract,,,16.3,,"(e) Where Article ‎16.3(d)(v) applies, the CONTRACTOR shall be required to reimburse such portion of the AGREEMENT PRICE as the COMPANY deems sufficient to compensate it for any losses, costs or expenses that it has suffered or may suffer as a consequence of, or in connection with, the FACILITIES not achieving the PERFORMANCE GUARANTEES, up to the amount of the 10% of AGREEMENT PRICE.

Please check and confirm","The total laibility cost as per the form of agreement is 100%. 
Refer 505A_EPC Agreement , Form of Agreement Clause 2, Point  # 13",TB-R016
136,12,Contract,,,FORM OF AGREEMENT,,"13. TOTAL LIABILITY CAP: 100% of AGREEMENT PRICE

Bidder propose the total liability cap is 20% of AGREEMENT PRICE.

Please check and confirm","TOTAL LIABILITY CAP: 100% of AGREEMENT PRICE remains UNCHANGED and shall be maintained in its orginal form.

Refer 505A_EPC Agreement , Form of Agreement Clause 2, Point  # 13",TB-R016
137,13,Contract,,,EXHIBIT B.16,,Please provide the format of confirmation letter in Attachment -11. This document is missing.,Noted,TB-R016
138,14,Contract,,,16.3,,"(e) Where Article ‎16.3(d)(v) applies, the CONTRACTOR shall be required to reimburse such portion of the AGREEMENT PRICE as the COMPANY deems sufficient to compensate it for any losses, costs or expenses that it has suffered or may suffer as a consequence of, or in connection with, the FACILITIES not achieving the PERFORMANCE GUARANTEES, up to the amount of the 10% of AGREEMENT PRICE.",Refer response to  point # 11,TB-R016
139,15,Contract,,,FORM OF AGREEMENT,,"13. TOTAL LIABILITY CAP: 100% of AGREEMENT PRICE

Bidder propose the total liability cap is 20% of AGREEMENT PRICE.",This Clarification point is repeated w.r.t point.12 & check response for the same.,TB-R016
140,16,Contract,,,EXHIBIT B.16,,Please provide the format of confirmation letter in Attachment -11. This document is missing.,This Clarification point is repeated w.r.t point.12 & check response for the same.,TB-R016
141,17,Security,,,EXHIBIT - A.08/A.8.1.4,,"""The  security  arrangements  for  the  entire  PROJECT  Office  shall  be  subject  to approval of COMPANY.""
Please confirm bidder arrange the security sevice company( approved in ACL) in greenfield, or can use bider own staff.","Bidder shall submit a detailed securityplan for the COMPANY review and approval , regardless of whether using an external service or internal staff.  The bidder should be prepared to adjust their security arrangments based on Company's feedback.",TB-R016
142,18,Contract,,,Clause 24.2 © & 24.4 (e),,"(c) Within a reasonable time following the COMPANY’s receipt of a VARIATION PROPOSAL, the COMPANY may:
(e) Within a reasonable time following the COMPANY’s receipt of the CONTRACTOR VARIATION REQUEST pursuant to Article ‎24.4(a), or any amendments to or additional information for such CONTRACTOR VARIATION REQUEST pursuant to Article ‎24.4(d), where applicable, the COMPANY may:
Pls confirm the exact days of the reasonable time mentioned here.","""Resonable Time) is not explicitly defined in these clauses, it remains subject to specifics and mutual understanding  between the COMPANY and CONTRACTOR. For clarity , it is advisable to refer to the Contract Agreements that might provide further guidance.",TB-R016
143,1,General,,,TC-001 Company Comments,,"The list of the latest AGES/DGS standards is well received. However, the list itself would not be sufficient for BIDDER to evaluate the criteria of the standards. BIDDER shall understand clearly the contents of the standards.
Therefore, BIDDER requests COMPANY to share ALL the standards documents (NOT the list ) related to the project for further study.",Latest AGES /DGS standards provided in the attachment.,TB-R016
144,2,General,,,Site Visit,,"COMPANY has mentioned the arrangement of site visit during the VC dated 4th Dec, 2025.
BIDDER requests COMPANY to share the schedule and focal point at the earliest concerning the approaching submission date.",Necessary information for site visit shall be intimated to Bidder.,TB-R016
145,1,Instrumentation,,,Tender Bulletin Number TB-R007,,"According to the TB-R007, Quote ""For complete plant integration, Package control and safeguard shall be implemented in plant ICSS system bidder may elect to have a local room(e-room) inside/or outside the Storage building"" 
COMPANY to confirm whether the all Package PLC is forbidden and the signal of Package must direct connect to the plant ICSS（DCS or ESD）.",It is hereby confirmed that packages shall be implemented in the ICSS. Any exceptions (only for small packages) shall be approved by COMPANY,TB-R017
146,2,Mechanical,,,TB-R008 ，TB-R009 & RSHT2 - Presentation to Bidders 2,,"According to the bidding documents, bidder understand that the capacity of one existing linear storage is 165,000 ton in RSHT-2.The dimension of the new linear storage shall be same to existing RSHT-2 linear storage dimensions.
COMPANY to confirm.",Confirmed.,TB-R017
147,3,Mechanical,,,TB-R009,,"According to the bidding documents, the emergency route or optional route scheme to transfer the granules from new linear warehouse to existing RSHT-2 linear storage inlety. Bidder plan to connect the emergency route line from the TT2 transfer station and partially transform the TT2 transfer station. The transportation capacity of the TT2 transfer station to the existing linear storage shall  be adjusted to the original capacity plus the capacity of the new sulfur granulator conveyor system. 
COMPANY to confirm.",Refer to the Company provided TB-R012 for the same to understand the conveyor routing requirements.,TB-R017
148,4,Mechanical,,,RSHT2 - Presentation to Bidders 1,,"According to the bidding documents, the sulfur granulator is required with space provisions for future expansions, according to the current layout, reserve 10 granulator positions. The conveying capacity of the granulator to the warehouse is completed at one time considering the reserved capacity. COMPANY to confirm.",Confirmed.,TB-R017
149,5,Mechanical,,,1.0 ITB\RSHT-2\Conveyors_Storage_Buildings,,"There are not any doucuments and drawings in Conveyors Storage Buildings file.Please provide the equipment layout of the existing linear storage in SHRT-2, drawings and data sheets of belt conveyors and portal stacker/reclaimerof the existing linear storage in SHRT-2.",Attached,TB-R017
150,6,Process,,,Tender Bulletin ,,"As per TB-R9,  utility/potable water will be supplied from existing RSHT-2 facility, Bidder shall do study for the adequacy of the existing systems catering to new RSGH 2. 
Please clarify the renovation and expansion in existing RSHT-2 area such as add pump, enlarge main pipe size, re-routing water supply lines to new RSGP B.L, etc. are in new project working scope or not.","Bidder to note that, existing RSHT-2 drawings(for e.g. UFD, P&ID) are provided for the same. Bidder should assess the new water consumption required for new RSGP  in RSHT-2 and verify whether the surplus amount of water available in RSHT-2 utility/PW system. Based on the above, if any addition system requires, Bidder to consider the same. Further note that Bidder to confirm whether water quality available in the existing RSHT-2 facility is acceptable to consider for water requirements in new RSGP.",TB-R017
151,7,Process,,,Tender Bulletin ,,"As per TB-R9 attached as built drawing of existing RSHT-2 facility, as bidderll as the requirements specified in RSHT-1 FEED, some drainage philosophy is different. 
In RSH-2, Treated washdown water is recycled and distributed as wash down water, treat sanitary water is pumped to irrigation tank and reused for landscaping irrigation. In RSHT-1 FEED, both treated washdown water and sanitary water are discharged directly to sea.
Please clarify which philosophy shall comply with.",Bidder to refer to reponse provided in COMPANY issued TB-R016 for the same.,TB-R017
152,8,Static,,,General,,"COMPANY is requested to share existing liquid sulfur tanks(54140-TK-4002, 40-TK-101) as-built or construction drawing for reference if possible.","Note that thes tanks referred are part of RSHT-1 SGP area & Bidder not required these for SGP design in RSHT-2.

Note that for new SGP in  RSHT-2, Bidder shall be providing new Liquid sulphur tanks and already as part of RSHT-1 RFT FEED package, however, capacity shall be strictly to cater for 5 days ullage.  design shall be in line with AGES and shall be provided by successful bidder.",TB-R017
153,9,Static,,,General,,"COMPANY is requested to share existing liquid sulfur tanks(54140-TK-4002, 40-TK-101) engineering and construction contractor/vendor name /contact information for further quotation if required.","Note that thes tanks referred are part of RSHT-1 SGP area & Bidder not required these for SGP design in RSHT-2.

Note that for new SGP in  RSHT-2, Bidder shall be providing new Liquid sulphur tanks and already as part of RSHT-1 RFT FEED package, however, capacity shall be strictly to cater for 5 days ullage.  design shall be in line with AGES and shall be provided by successful bidder.",TB-R017
154,10,Static,,,"RSHT-1 RFT Part 2 A (Exhibit C):RP-5312-00-MC-001_3;RP-5312-00-MC-002_0;RP-5312-00-MC-006_0
DS-5312-40-TK-0001_1",,"RP-5312-00-MC-001_3,page 16,table 4-2,stated that sulphur tanks C.A. is 4~6mm respectivly for different location carbon steel plate.
RP-5312-00-MC-002_0,page 21,clause 6.3,stated that sulphur Tank shall be CS + 3mm CA with Internal Durapol Coating.
RP-5312-00-MC-006_0,pag 37,Table 7-2,Main Body/Shell CS C.A.is 6mm.
In Liquid sulphur tank MDS, CS + 3mm CA with Internal Durapol Coating requirement was addressed.

Bidder's understanding is that if internal coating applied,corrosion allowance 3mm is correct for sulphur tank carbon steel.
Please confirm BIDDER's understanding is correct or not.",Bidder to refer responses provided in earlier TB-013 issued as part of RSHT-1 RFT package.,TB-R017
155,11,Static,,,RSHT-1 RFT Part 2 A (Exhibit C):RP-5312-00-MC-002_0;RP-5312-00-MC-006_0.,,"RP-5312-00-MC-002_0,page 24,clause 7.4,stated that The tank bottom plate should not be externally coated due to high temperature within the sulphur tank. It, hobidderver, shall be protected with impressed current cathodic protection (ICCP).
RP-5312-00-MC-006_0,pag 37,Table 7-2 remarks described that Coatings should be applied to the soil side of tanks in contact with soil in addition to ICCP,
for mitigation of soil side tank bottom corrosion.

Bidder's understanding is that bottom external coating is not required due to high temperature,just to provide ICCP.
Please confirm BIDDER's understanding is correct or not.",Bidder to refer responses provided in earlier TB-013 issued as part of RSHT-1 RFT package.,TB-R017
156,12,Static,,,DS-5312-40-TK-0001_1,,"FEED liquid sulphur tank MDS is just for reference,alternative technical scheme,internal heating coil which is worldwide used for sulphur tank,is also accetable.
Of cause,Bidder shall provide roof heat tracing,internal coating,external support clips insulation to avoid vapor phase corrosion.

Please confirm BIDDER's understanding is correct or not.",Bidder understanding is correct. However Bidder refer to MDS and relevant P&ID's notes for further Bidder considerations & design.,TB-R017
157,13,SP3D,,,EXHIBIT-B.13 Rev 0.pdf,,"Exhibit -B.13  5.3  Software Version                                                                               ""CONTRACTOR shall use the latest version of SP3D and SPR on the project. CONTRACTOR shall configure SP3D using latest compatible 64-bit version of Oracle. ""  
CONTRACTOR request company to confirm   the  Specific version number to be used before the project         ","Below are the requested details to start the project :-
 S3D v 13.1
 SPR v 2020
 However, at the time of Smart Plant handover, company will advise the final handover version",TB-R017
158,14,Telecommunication,,,General,,"As per proposal plot plan, there is a enclosed perimeter fence, please confirm whether it is necessary to set Fence Intrusion Detection Sysem and Security CCTV System.",This shall be as per the scope of work document in exhibit B-11 in the RFT package,TB-R017
159,15,Piping,,,GENERAL,,"As per DB-5312-00-PI-001, COMPANY will make available to ENGINEER the existing SP3D model for units under project scope to facilitate building of new 3D model showing the lines and connections to the exact location of Tie-in into existing",Bidder shall note that 3D models of the brownfield areas will be provided to the successful bidder. However verification of exact location of tie-in shall be the responsibility of Contractor during Engineering,TB-R017
160,16,,,,,,Bidder request client supply the latest 3d model include SHT-1&SHT-2 for better understanding regarding the work scope and design criteria,"Bidder shall note that this is  greenfield project therefore 3D Model will be developed during Engineering. For tie-ins to existing facilities, the 3D Model will be provided to the successful bidder.",TB-R017
161,17,Civil,,,SP-5312-00-ST-001 2.1.4 International Standards,,"Please confirm the ACI 318-19, AISC 360-16, AISC 341-16,  IBC-2018 and ASCE 7-16 to be used for RSHT-2 new structural steel and concrete design as per  SP-5312-00-ST-001 Section 3.1.","Bidder to refer COMPANY AGES for the design codes /standards version in relevant chapters of the document. When an edition date is not indicated for a Code or Standard, the latest edition in force at the time of the contract award shall apply.",TB-R017
162,18,Civil,,,SP-5312-00-ST-001  4.3 Structural steel works,,Bidder proposes to use Chinese standard steel materials grade Q355B (in accordance to GB/T 1591-2018 High Strength Low Alloy Structural Steels) and grade Q235B (in accordance to GB/T 700-2006 Carbon Structural Steel) as alternatives (to replace the ASTM A36 and A572 Grade 50) for RSHT-2 Project. ,For the purpose of bidding the Bidder shall Comply COMPANY AGES /STD. The sucessful bidder during EPC stage may submit TQ (Technical Query) along with recommendations/valid justification subjected to COMPANY review/approval.   ,TB-R017
163,19,Civil,,,SP-5312-00-ST-001 6.1.7 Earthquake Loads (seismic parameters are on hold),,Please provide/confirm the seismic parameters to be used on RSHT-2 Project.,Bidder to refer COMPANY AGES-SP-01-003 structural design basis – onshore specification for seismic loads. The Parametres used shall be substantiated with necessary field test/Studies but not limited to Geotechnical investigation ,TB-R017
164,20,Civil,,,SP-5312-00-ST-001 6.1.11 Blast Load,,Please provide/confirm which building to be designed as blast resistant on RSHT-2 Project and provide AGES-SP-01-003 for reference.,"Bidder to refer Cl.9.1 of AGES-SP-01-013 for essential buildings which are mandatory to design for blast resistance & other buildings when the blast load is not less the  minimum specified. The Blast design consideration shall comply AGES-SP-01-003.
At EPC Stage specific FERA / QRA / BRA shall be conducted which shall dictate specific building blast resistance recommendation if required. 
COMPANY already provided the AGES, DGS(active) and the list of DGS that are obsolete in TB_R016.",TB-R017
165,21,Civil,,,RP-5312-00-MC-005 Section 5 Structure Details,,Please confirm Cathodic Protection to be used for liquid sulphur storage tank foundations only for RSHT-2. Please advise if the piling or other critical foundations need to be considered CP. Please provide DGS-1674-001 for reference.,Corrossion monitoring system shall be provided for the critical & non -critical concrete foundations based on relevant project specifications.,TB-R017
166,22,Civil,,,General,,Please provide the coating/painting requirments for structural steel.,Bidder to consider the same based on latest AGES-SP-07-004.,TB-R017
167,23,Civil,,,SP-5312-00-ST-001_0,,Please provide the STD-1481-001-0210A/B Fence Types and Details and DGS-CU--006 fencing.,"Bidder to refer COMPANY Specification AGES-SP-01-022 Fence and Gate.

COMPANY STD Drawings Attached. It is to be note that most of drawings will have  reference to DGS which are obsolete and the same shall be considered with relevant AGES for detailed Engineering including preparation of PROJECT specific STD drawings in-line with AGES/ PROJECT Documents. ",TB-R017
168,24,Civil,,,1005312,,"In the SOW indicated that the new fencing shall match with the existing fencing.
Please kindly provide the the type of existing fencing and the detail drawing of it.","- New fence for the PROJECT area shall be considered in-line with AGES-SP-01-022 Fence and Gate. 
- CICPA fence shall comply with their requirements.
- the existing fence interface (including CICPA fence if any including modification to existing fence for any access/Gates, HSE requirements etc.,) are included in bidders scope
Bidder is advised to make Site Visit for further verification/ consideration.",TB-R017
169,25,Civil,,,DW-5264-6000-A0-PP-0500-1F ,,"On the west side of the existing north-south fencing, there is slope protection shown, so it shows the existing area is higher than the green, but there is no elevation in the plot plan.
Please kindly provide the topographic map of the green area;",There is no topo survey for the proposed PROJECT site is available. However the existing reports for the adjucent site at RSHT-2 are already provided TB_R017.,TB-R017
170,26,Civil,,,DW-5264-6000-A0-PP-0500-1F ,,"The data of exsiting facilities is very helpful to understand the green field near by,
Please kindly provide the followings:
1. the topographic map of the existing SSB area;
2.  the geological investigation report of the existing SSB area;","The existing topo/Geotech reports for the adjucent site at RSHT-2 are already provided for reference/information only as part of TB-R015 & TB-R017 Further to COMPANY response to Point8-10 of TB-R03, Bidders to note that the adjucent structures that are interfacing with this PROJECT (for example transfer tower TT4) are founded on pile foundations. The bidders are advised to study the avaialble geotechnical reports and make suitable considreations in their lumpsum bid without any cost/schedule impact to COMPANY.

During EPC stage,the successful bidder shall make their own investigation in-line with PROJECT requirements for further verification/consideration for design development ",TB-R017
171,27,Civil,,,DW-5264-6000-A0-PP-0500-1F ,,"Please kindly provide the site condition report of green area, inculding site elevation, soil condition , compaction of soil , CBR etc..",See COMPANY response above point 26.,TB-R017
172,28,CIVIL,,,GENERAL,,"Sl.No. 25,26,27 and 28 to request the civil/structure design criteria and specifications, foundation drawings and calculation report for sulfur storage building and reclarmers of SHT-2. 
This is considering that NO FEED for RSHT2 and the tight schedule for Bidder and the existing SHT-2 engineering packages to be used as reference for the Bidder better understanding the work scope and design criteria and also as best practices/lesson learned to be incorporated in Bidder's proposal for RSHT2.","
Bidder to note that engineering development for this project including adequacy check/strengthening of existing structures(steel members, connection) / foundation is based on AGES and applicable guide line documetns such as AGES-GL-01-001. Bidder to note that the design requirements for new/existing structures shall be in-line with COMPANY current AGES but not limited to AGES-SP-01-003, AGES-GL-01-001, AGES-GL-16-003 this includes application of loads / current environmental loads (Wind, seismic, Temperature etc) for existing/new structures.

Available deisgn information of RSHT2 is shared as part of this response for reference and consideration for lumpsum price without cost & schedule impact to Company.

",TB-R017
173,1,Piping,,,GENERAL,,"1. If the Painting spec for RSHT2 shall comply with ADNOC spec ""DGS 6600-010 Painting"" ?
2. If it is, please provide it.","Bidder shall refer to AGES Painting & Coating Specification AGES-SP-07-004
Latest AGES will be shared along with reply in company TB-R016",TB-R017
174,2,Process,,,"DW-5264-6027-A1-PU-0203
DW-5264-6027-A1-PU-0204",,"As per TB-R9 attached P&IDs of existing RSHT-2 potable water supply system, potable water is pumped to building utilities and safety/eye washer directly without chiller system to keep water temperature. Site maximum solar temperature is 85℃, please clarify if need add chiller system in existing RSHT-2 potable water station in this project.",No additional chiller system envisaged.,TB-R017
175,1,SOW,,,General,,"The new plant area is located to the west of the existing Terminal 2, the cleaning of the activity of the existing sulphur or sulphur dust from the existing Terminal 2 plant is outside the scope of the BIDDER.

Please confirm that BIDDER's understanding is correct.","Indeed the new plant is situated in west of the existing terminal.However, a typical interface management between the existing and new plant area is envisaged. Therefore any activities/party that might affect or be affected working in proximity to the existing sulphur or sulphur dust area shall be responsible for adhering to all relevant safety regulations petaining to sulphur handling and exposure.",TB-R017
176,2,Instrumentation,,,"DGS-IU-002
INSTRUMENT INSTALLATION DESIGN",,"According to DSG-IU-002 INSTRUMENT INSTALLATION DESIGN 10.9 Junction Boxes shall be of high impact resistant, glass reinforced polyester material. Refer to the FEED file of Worley, SS316L is requried for the material of instrument junction box. Which is correct?

COMPANY to confirm.",This DGS is superseded by AGES-SP-04-017. Please follow the afore-mentioned AGES for selection of MOC (material of construction) for instrument junction box,TB-R017
177,3,Contract,,,"General T&C
",,"Please provide the Articles 247, 267, 275, 877, 879, 886 and 892 through 896 of the CIVIL CODE.",,TB-R017
178,4,QUALITY,,,"SI. No. 5 and 6 Audit as indicated on APPENDIX I PROJECT KEY PERFORMANCE INDICATORS (KPIS), Contractors QAQC Requirement (AGES-GL-13-001)",,"The frequency of audits shown on KPIS table is quarterly. 

Pls clarify the type of audit.","It is not the frequency of audits that is Quarterly. It is the frequency of measuring/ reporting of the KPI, in this case, Audits Performed against Audits Planned. It is to be noted KPIs or the measuring frequencies may be revised in agreement with the COMPANY to fit to Project requirements and nature.                                                            For Types of Audits, please refer to Contractors QAQC Requirement (AGES-GL-13-001) Section 10 and Quality Management Requirements (Exhibit B.10) Section B.10.5.  ",TB-R017
179,1,ELECTRICAL,,,General ,TECHNICAL,"Bidder uderstands that the Power supply for the new RSHT 2 Plant will be from existing Borouge 3 facility with N.2 33kV HV cable lines. 
Bidder higlights that most of the cable will be routed undreground inside B3 facility battery limit in a very congested area in service.
Company to confirm that adeguate spare space is available inside the existing cable tranch/duct bank and provide updated detailed as built drawing from the Existing Borouge 3 Substation to RSHT2 Plant battery limits. Bidder understand that due to unavailability of suitable documentation to evaluate connections with Borouge 3 and RSHT-2, dedicated studies and assesments will be developed during EPC stage with related schedule and cost impact. Company kindly to confirm.
","Bidder understanding is correct, however any development of engineering that include adequacy study and verification of site condition shall not have any impact on schedule. Bidder to ensure making the required assumptions to enable completeing the work on time. Company shall not entertain any time variation.",TB-R017
180,2,ELECTRICAL,,,General ,TECHNICAL,"Company to confirm that no. two spare 33kV feeders and related auxiliary services required for the Power Supply of the new RSHT 2 Plant are available in the existing 33 kV GIS SWITCHGEAR Borouge 3. Also, confirm the spare power capability  required (approx. 12MVA) at 33kV GIS Switchgear to feed the new RSHT 2 Plant. Bidder understands that due to unavailability of suitable documentation at this stage, dedicated studies shall be developed during the EPC phase with related schedule and cost impact.
","The availability of spare feeders in 33KV switchgear has already been requested from Borouge, the confirmation of the same is awaited.as soon it is received, it will be conveyed to Bidder.

However any development of engineering that include adequacy study and verification of site condition shall not have any impact on schedule. Bidder to ensure making the required assumptions to enable completeing the work on time. Company shall not entertain any time variation.",TB-R017
181,3,ELECTRICAL,,,General ,TECHNICAL,"Bidder higlight to Company that the incoming 33kV lines from 33kV SWGR in Borouge 3 facilities will be connected directly to step down transformer in new RSTHT 2 Substation with two dedicated transformer 33kV/11kV. 
Electrical management and operation of the two incoming lines and relative electrical protection relay will be in Borouge 3 facilities substation. Bidder understands that due to unavailability of suitable documentation at this stage, dedicated studies shall be developed during the EPC phase with related schedule and cost impact.","1. Bidder understanding is correct in case it is U/G cable. 
2. Bidder understanding is correct however metering facilities for the supply to RSHT-2 plant , whether at source or receiving end will be reverted as soon as it is finalised, however any development of engineering that include adequacy study and verification of site condition shall not have any impact on schedule. Bidder to ensure making the required assumptions to enable completeing the work on time. Company shall not entertain any time veriation.       ",TB-R017
182,,,,,,,,"Bidder Considerations:
Bidder to note that the new facilities of RSHT-2 Proposed Extension for H&G project shall have IPCS system which shall be  integrated with existing RSHT-2 facilty IPCS in order to utilize the existing linear storage buildings, transport (conveyers, transfer towers etc..) and export (ship loaders) infrastructure and facilities of RSHT-2. 
New HMI graphics to be developed for the new IPCS and shall provide the information of new facilities as well as the existing facilities utilised.",TB-R017
183,1,HSE,,,"ANNEXURE 12
HSE REQUIREMENTS ",,"As described in ITB: All CONTRACTORS’ and SUB-CONTRACTORS’ HSE supervisors or construction supervisors must be certified and received and in possession of a valid certified training certificate in construction HSE such 
as NEBOSH.
Please clarify if all  CONTRACTORS’ and SUB-CONTRACTORS’ HSE supervisors need the certificate as NEBOSH, or only the key personnel like HSE Manager?
Please clarify that except NEBOSH, what kind of other cetificate might be accepted.","All HSE Site officers and HSE Site Engineers shall posses NEBOSH IGC as minimum,  other certifaction is an advantage.
OHID/OHRA Chairman mustl have CIH certification ",TB-R019
